"FREQ","U1:A(OP)"
0.0001,160
0.0001023292992,160
0.0001047128548,160
0.0001071519305,160
0.0001096478196,160
0.0001122018454,160
0.0001148153621,160
0.0001174897555,160
0.0001202264435,160
0.0001230268771,160
0.0001258925412,160
0.0001288249552,160
0.0001318256739,160
0.0001348962883,160
0.0001380384265,160
0.0001412537545,160
0.0001445439771,160
0.0001479108388,160
0.0001513561248,160
0.0001548816619,160
0.0001584893192,160
0.0001621810097,160
0.0001659586907,160
0.0001698243652,160
0.0001737800829,160
0.000177827941,160
0.0001819700859,160
0.0001862087137,160
0.0001905460718,160
0.00019498446,160
0.0001995262315,160
0.0002041737945,160
0.0002089296131,160
0.000213796209,160
0.0002187761624,160
0.0002238721139,160
0.0002290867653,160
0.0002344228815,160
0.0002398832919,160
0.0002454708916,160
0.0002511886432,160
0.0002570395783,160
0.0002630267992,160
0.0002691534804,160
0.0002754228703,160
0.0002818382931,160
0.0002884031503,160
0.0002951209227,160
0.000301995172,160
0.0003090295433,160
0.000316227766,160
0.0003235936569,160
0.0003311311215,160
0.0003388441561,160
0.0003467368505,160
0.0003548133892,160
0.0003630780548,160
0.0003715352291,160
0.0003801893963,160
0.000389045145,160
0.0003981071706,159.999
0.0004073802778,159.999
0.0004168693835,159.999
0.0004265795188,159.999
0.0004365158322,159.999
0.0004466835922,159.999
0.0004570881896,159.999
0.0004677351413,159.999
0.0004786300923,159.999
0.0004897788194,159.999
0.0005011872336,159.999
0.000512861384,159.999
0.0005248074602,159.999
0.0005370317964,159.999
0.0005495408739,159.998
0.0005623413252,159.998
0.0005754399373,159.998
0.0005888436554,159.998
0.0006025595861,159.998
0.0006165950019,159.998
0.0006309573445,159.998
0.000645654229,159.998
0.000660693448,159.998
0.0006760829754,159.997
0.0006918309709,159.997
0.0007079457844,159.997
0.0007244359601,159.997
0.0007413102413,159.997
0.000758577575,159.997
0.0007762471166,159.996
0.0007943282347,159.996
0.0008128305162,159.996
0.0008317637711,159.996
0.0008511380382,159.996
0.00087096359,159.995
0.0008912509381,159.995
0.0009120108394,159.995
0.0009332543008,159.995
0.000954992586,159.994
0.000977237221,159.994
0.001,159.994
0.001023292992,159.993
0.001047128548,159.993
0.001071519305,159.993
0.001096478196,159.992
0.001122018454,159.992
0.001148153621,159.991
0.001174897555,159.991
0.001202264435,159.991
0.001230268771,159.99
0.001258925412,159.99
0.001288249552,159.989
0.001318256739,159.988
0.001348962883,159.988
0.001380384265,159.987
0.001412537545,159.987
0.001445439771,159.986
0.001479108388,159.985
0.001513561248,159.985
0.001548816619,159.984
0.001584893192,159.983
0.001621810097,159.982
0.001659586907,159.981
0.001698243652,159.981
0.001737800829,159.98
0.00177827941,159.979
0.001819700859,159.978
0.001862087137,159.977
0.001905460718,159.975
0.0019498446,159.974
0.001995262315,159.973
0.002041737945,159.972
0.002089296131,159.97
0.00213796209,159.969
0.002187761624,159.967
0.002238721139,159.966
0.002290867653,159.964
0.002344228815,159.963
0.002398832919,159.961
0.002454708916,159.959
0.002511886432,159.957
0.002570395783,159.955
0.002630267992,159.953
0.002691534804,159.951
0.002754228703,159.948
0.002818382931,159.946
0.002884031503,159.943
0.002951209227,159.94
0.00301995172,159.938
0.003090295433,159.935
0.00316227766,159.932
0.003235936569,159.928
0.003311311215,159.925
0.003388441561,159.921
0.003467368505,159.918
0.003548133892,159.914
0.003630780548,159.91
0.003715352291,159.906
0.003801893963,159.901
0.00389045145,159.897
0.003981071706,159.892
0.004073802778,159.887
0.004168693835,159.881
0.004265795188,159.876
0.004365158322,159.87
0.004466835922,159.864
0.004570881896,159.858
0.004677351413,159.851
0.004786300923,159.844
0.004897788194,159.837
0.005011872336,159.829
0.00512861384,159.822
0.005248074602,159.813
0.005370317964,159.805
0.005495408739,159.796
0.005623413252,159.786
0.005754399373,159.776
0.005888436554,159.766
0.006025595861,159.755
0.006165950019,159.744
0.006309573445,159.732
0.00645654229,159.72
0.00660693448,159.707
0.006760829754,159.694
0.006918309709,159.68
0.007079457844,159.666
0.007244359601,159.65
0.007413102413,159.635
0.00758577575,159.618
0.007762471166,159.601
0.007943282347,159.583
0.008128305162,159.564
0.008317637711,159.545
0.008511380382,159.524
0.0087096359,159.503
0.008912509381,159.481
0.009120108394,159.458
0.009332543008,159.434
0.00954992586,159.409
0.00977237221,159.383
0.01,159.356
0.01023292992,159.328
0.01047128548,159.299
0.01071519305,159.268
0.01096478196,159.236
0.01122018454,159.204
0.01148153621,159.169
0.01174897555,159.134
0.01202264435,159.097
0.01230268771,159.059
0.01258925412,159.019
0.01288249552,158.978
0.01318256739,158.935
0.01348962883,158.891
0.01380384265,158.845
0.01412537545,158.797
0.01445439771,158.748
0.01479108388,158.697
0.01513561248,158.644
0.01548816619,158.59
0.01584893192,158.533
0.01621810097,158.475
0.01659586907,158.415
0.01698243652,158.353
0.01737800829,158.288
0.0177827941,158.222
0.01819700859,158.154
0.01862087137,158.084
0.01905460718,158.011
0.019498446,157.937
0.01995262315,157.86
0.02041737945,157.781
0.02089296131,157.7
0.0213796209,157.617
0.02187761624,157.531
0.02238721139,157.443
0.02290867653,157.353
0.02344228815,157.261
0.02398832919,157.166
0.02454708916,157.069
0.02511886432,156.969
0.02570395783,156.868
0.02630267992,156.764
0.02691534804,156.658
0.02754228703,156.549
0.02818382931,156.438
0.02884031503,156.325
0.02951209227,156.21
0.0301995172,156.092
0.03090295433,155.973
0.0316227766,155.851
0.03235936569,155.726
0.03311311215,155.6
0.03388441561,155.472
0.03467368505,155.341
0.03548133892,155.209
0.03630780548,155.074
0.03715352291,154.937
0.03801893963,154.799
0.0389045145,154.658
0.03981071706,154.515
0.04073802778,154.371
0.04168693835,154.225
0.04265795188,154.077
0.04365158322,153.927
0.04466835922,153.776
0.04570881896,153.623
0.04677351413,153.468
0.04786300923,153.311
0.04897788194,153.154
0.05011872336,152.994
0.0512861384,152.833
0.05248074602,152.671
0.05370317964,152.507
0.05495408739,152.342
0.05623413252,152.176
0.05754399373,152.008
0.05888436554,151.839
0.06025595861,151.669
0.06165950019,151.498
0.06309573445,151.326
0.0645654229,151.152
0.0660693448,150.978
0.06760829754,150.803
0.06918309709,150.626
