0 3,3219e-024
0,08 1,39213e-010
0,16 5,21299e-010
0,24 1,51762e-009
0,32 6,00028e-009
0,4 2,62942e-008
0,48 1,20212e-007
0,56 5,5332e-007
0,64 2,56052e-006
0,72 1,18927e-005
0,8 5,53505e-005
0,88 0,00025728
0,96 0,00117981
1,04 0,00509598
1,12 0,0182688
1,2 0,0474964
1,28 0,0917151
1,36 0,145804
1,44 0,205914
1,52 0,269736
1,6 0,336292
1,68 0,404654
1,76 0,474339
1,84 0,545046
1,92 0,616561
2 0,688726
2,08 0,761424
2,16 0,834567
2,24 0,908085
2,32 0,981925
2,4 1,05604
2,56 1,20497
2,72 1,35465
2,88 1,50492
3,04 1,65567
3,28 1,88252
3,52 2,11004
3,84 2,41419
4,24 2,79531
4,72 3,25356
5,44 3,94203
5,6 4,09458
5,68 4,16947
5,76 4,24035
5,84 4,30181
5,92 4,3498
6 4,38489
6,08 4,41081
6,16 4,43136
6,24 4,44852
6,32 4,4632
6,4 4,47601
6,48 4,4874
6,56 4,49766
6,72 4,51561
6,88 4,53102
7,04 4,54456
7,2 4,55667
7,36 4,56764
7,6 4,58242
7,84 4,5956
8,08 4,60753
8,4 4,62187
8,72 4,63479
9,04 4,64657
9,44 4,65998
9,84 4,67222
10,32 4,68563
10,8 4,69792
11,36 4,71108
12 4,72486
12,64 4,73754
13,36 4,75071
14,16 4,76423
15,04 4,77799
15,92 4,79077
16,8 4,80274
17,68 4,81401
18,56 4,82469
19,44 4,83484
20,32 4,84454
21,2 4,85384
22,08 4,86277
22,96 4,87139
23,84 4,87971
24,72 4,88776
25,6 4,89558
26,48 4,90318
27,36 4,91058
28,24 4,91779
29,12 4,92483
30 4,93172
30,88 4,93845
31,76 4,94505
32,64 4,95153
33,52 4,95788
34,4 4,96413
35,28 4,97027
36,16 4,97631
37,04 4,98226
37,92 4,98813
38,8 4,99392
39,68 4,99962
40,56 5,00526
41,44 5,01083
42,32 5,01634
43,2 5,02178
44,08 5,02717
44,96 5,0325
45,84 5,03778
46,72 5,04302
47,6 5,0482
48,48 5,05335
49,36 5,05845
50,24 5,06352
51,12 5,06854
52 5,07354
52,88 5,0785
53,76 5,08343
54,64 5,08833
55,52 5,0932
56,4 5,09805
57,28 5,10287
58,16 5,10767
59,04 5,11245
59,92 5,11722
60,8 5,12196
61,68 5,12669
62,56 5,1314
63,44 5,1361
64,32 5,14078
65,2 5,14546
66,08 5,15012
66,96 5,15478
67,84 5,15943
68,72 5,16407
69,6 5,16871
70,48 5,17335
71,36 5,17799
72,24 5,18262
73,12 5,18726
74 5,1919
74,88 5,19655
75,76 5,2012
76,64 5,20585
77,52 5,21052
78,4 5,2152
79,28 5,21989
80 5,22373
