0 3,38214e-029
0,24 3,7993e-011
0,48 4,6056e-011
0,72 5,86188e-011
0,96 8,31158e-011
1,2 1,24736e-010
1,44 1,99189e-010
1,68 3,37402e-010
1,92 5,99183e-010
2,16 1,1003e-009
2,4 2,0627e-009
2,64 3,91093e-009
2,88 7,45409e-009
3,12 1,42282e-008
3,36 2,7139e-008
3,6 5,16632e-008
3,84 9,80881e-008
4,08 1,8567e-007
4,32 3,50335e-007
4,56 6,5889e-007
4,8 1,23517e-006
5,04 2,30801e-006
5,28 4,299e-006
5,52 7,98249e-006
5,76 1,47767e-005
6 2,72718e-005
6,24 5,01848e-005
6,48 9,20826e-005
6,72 0,000168481
6,96 0,000307401
7,2 0,000559296
7,44 0,00101471
7,68 0,00183548
7,92 0,00330933
8,16 0,00594402
8,4 0,0106252
8,64 0,0188694
8,88 0,0331949
9,12 0,0575758
9,36 0,0977845
9,6 0,161164
9,84 0,255299
10,08 0,38571
10,32 0,553838
10,56 0,756748
10,8 0,98856
11,04 1,24242
11,28 1,51192
11,52 1,79177
11,76 2,07784
12 2,36706
12,24 2,65718
12,48 2,94661
12,72 3,2342
12,96 3,51917
13,2 3,801
13,44 4,07933
13,68 4,35395
13,92 4,62475
14,16 4,89168
14,4 5,15476
14,64 5,41401
14,88 5,66951
15,12 5,92134
15,36 6,1696
15,6 6,41439
15,84 6,65581
16,08 6,89398
16,32 7,129
16,56 7,36098
16,8 7,59003
17,04 7,81625
17,28 8,03974
17,52 8,2606
17,76 8,47892
18 8,69479
18,24 8,9083
18,48 9,11953
18,72 9,32856
18,96 9,53547
19,2 9,74033
19,68 10,1442
20,16 10,5406
20,64 10,9302
21,12 11,3133
21,6 11,6904
22,08 12,0617
22,56 12,4278
23,04 12,7888
23,52 13,1451
24 13,497
24,48 13,8446
24,96 14,1883
25,44 14,5283
25,92 14,8647
26,4 15,1977
27,12 15,6913
27,84 16,1784
28,56 16,6593
29,28 17,1344
30 17,6044
30,72 18,0694
31,44 18,5298
32,16 18,9859
33,12 19,588
34,08 20,1835
34,8 20,6261
35,04 20,7692
35,28 20,8899
35,52 20,9647
35,76 21,0234
36,24 21,1195
36,72 21,211
37,44 21,3411
38,64 21,5497
40,32 21,834
42,72 22,2335
45,36 22,6686
48 23,1012
50,64 23,5323
53,28 23,9623
55,92 24,3915
58,56 24,8202
61,2 25,2483
63,84 25,6761
66,48 26,1036
69,12 26,5308
71,76 26,9577
74,4 27,3845
77,04 27,8111
79,68 28,2375
82,32 28,6637
84,96 29,0899
87,6 29,5159
90,24 29,9419
92,88 30,3677
95,52 30,7934
98,16 31,2191
100,8 31,6447
103,44 32,0702
106,08 32,4957
108,72 32,9211
111,36 33,3464
114 33,7717
116,64 34,197
119,28 34,6222
121,92 35,0474
124,56 35,4725
127,2 35,8976
129,84 36,3227
132,48 36,7477
135,12 37,1727
137,76 37,5977
140,4 38,0227
143,04 38,4476
145,68 38,8725
148,32 39,2974
150,96 39,7223
153,6 40,1472
156,24 40,572
158,88 40,9968
161,52 41,4217
164,16 41,8465
166,8 42,2712
169,44 42,696
172,08 43,1208
174,72 43,5453
175,92 43,7361
176,64 43,8444
177,12 43,9086
177,6 43,963
178,08 44,0068
178,8 44,0566
179,76 44,1043
180,96 44,1475
182,64 44,1925
184,8 44,237
187,44 44,2806
190,08 44,3173
192,72 44,3496
195,36 44,3788
198 44,4055
200,64 44,4303
203,28 44,4534
205,92 44,4751
208,56 44,4956
211,2 44,515
213,84 44,5335
216,48 44,551
219,12 44,5677
221,76 44,5837
224,4 44,5989
227,04 44,6135
229,68 44,6275
232,32 44,6409
234,96 44,6537
237,6 44,6661
239,76 44,6758
