0 5,76151e-030
0,24 7,57944e-011
0,48 9,18798e-011
0,72 1,16942e-010
0,96 1,65812e-010
1,2 2,48843e-010
1,44 3,97373e-010
1,68 6,73103e-010
1,92 1,19535e-009
2,16 2,19505e-009
2,4 4,115e-009
2,64 7,80215e-009
2,88 1,48706e-008
3,12 2,83847e-008
3,36 5,41412e-008
3,6 1,03066e-007
3,84 1,95682e-007
4,08 3,70404e-007
4,32 6,98903e-007
4,56 1,31446e-006
4,8 2,46411e-006
5,04 4,60439e-006
5,28 8,57633e-006
5,52 1,59247e-005
5,76 2,9479e-005
6 5,44061e-005
6,24 0,000100117
6,48 0,000183701
6,72 0,000336112
6,96 0,00061325
7,2 0,00111577
7,44 0,00202429
7,68 0,00366164
7,92 0,00660178
8,16 0,0118574
8,4 0,0211948
8,64 0,0376372
8,88 0,0662022
9,12 0,114801
9,36 0,194901
9,6 0,321041
9,84 0,508124
10,08 0,766775
10,32 1,09934
10,56 1,49939
10,8 1,95466
11,04 2,45111
11,28 2,97575
11,52 3,51793
11,76 4,06947
12 4,62435
12,24 5,17826
12,48 5,72815
12,72 6,27196
12,96 6,80829
13,2 7,33625
13,44 7,85532
13,68 8,36524
13,92 8,8659
14,16 9,35734
14,4 9,83971
14,64 10,3132
14,88 10,778
15,12 11,2344
15,36 11,6827
15,6 12,1231
15,84 12,5559
16,08 12,9815
16,32 13,4
16,56 13,8117
16,8 14,217
17,04 14,616
17,28 15,009
17,52 15,3963
17,76 15,7779
18 16,1543
18,24 16,5254
18,48 16,8916
18,72 17,2531
18,96 17,6099
19,2 17,9624
19,44 18,3105
19,68 18,6546
19,92 18,9946
20,4 19,6633
20,64 19,9899
20,88 20,297
21,12 20,5809
21,36 20,841
21,6 21,0785
21,84 21,2995
22,32 21,7719
23,28 22,7266
24,96 24,3884
27,6 26,991
30,24 29,5892
32,88 32,1851
35,04 34,3077
36 35,243
36,72 35,9376
37,2 36,3944
37,44 36,6178
37,68 36,8318
37,92 37,0104
38,4 37,1355
40,08 37,6227
42,72 38,3757
45,36 39,1216
48 39,8639
50,64 40,6038
53,28 41,3421
55,92 42,0793
58,56 42,8155
60,72 43,4166
61,2 43,5468
61,68 43,6654
62,16 43,7584
62,64 43,8244
63,12 43,8732
63,84 43,9293
64,8 43,9875
66 44,0468
67,68 44,1166
69,84 44,1936
72,48 44,2758
75,12 44,3491
77,76 44,4154
80,4 44,4761
83,04 44,532
85,68 44,5836
88,32 44,6314
90,96 44,6758
93,6 44,717
96,24 44,7553
98,88 44,7909
101,52 44,8241
104,16 44,8551
106,8 44,8839
109,44 44,9107
112,08 44,9358
114,72 44,9591
117,36 44,9809
120 45,0011
122,64 45,0201
125,28 45,0377
127,92 45,0541
130,56 45,0694
133,2 45,0837
135,84 45,097
138,48 45,1094
141,12 45,1209
143,76 45,1316
146,4 45,1416
149,04 45,1508
151,68 45,1595
154,32 45,1674
156,96 45,1749
159,6 45,1817
162,24 45,1881
164,88 45,194
167,52 45,1994
170,16 45,2044
172,8 45,209
175,44 45,2133
178,08 45,2172
180,72 45,2207
183,36 45,224
186 45,227
188,64 45,2297
191,28 45,2321
193,92 45,2343
196,56 45,2363
199,2 45,2381
201,84 45,2396
204,48 45,241
207,12 45,2422
209,76 45,2433
212,4 45,2441
215,04 45,2449
217,68 45,2455
220,32 45,2459
222,96 45,2463
225,6 45,2465
228,24 45,2466
230,88 45,2466
233,52 45,2466
236,16 45,2464
238,8 45,2462
239,76 45,246
