0 4,7536e-010
0,08 5,20001e-010
0,16 1,25034e-009
0,24 2,31615e-009
0,32 5,96286e-009
0,4 4,0388e-008
0,48 6,30439e-007
0,56 1,28815e-005
0,64 0,000274465
0,72 0,00449925
0,8 0,0245827
0,88 0,0570645
0,96 0,0945713
1,04 0,134997
1,12 0,178632
1,2 0,22627
1,28 0,277535
1,36 0,332841
1,44 0,395203
1,52 0,462157
1,6 0,529971
1,76 0,665727
1,84 0,733352
1,92 0,800731
2 0,867839
2,08 0,934662
2,16 1,0012
2,24 1,06744
2,32 1,13341
2,4 1,1991
2,48 1,26452
2,64 1,39457
2,8 1,52364
2,96 1,65179
3,12 1,77907
3,28 1,90554
3,44 2,03125
3,6 2,15624
3,76 2,28056
3,92 2,40424
4,08 2,52732
4,24 2,64984
4,48 2,83261
4,72 3,01427
4,88 3,13465
4,96 3,19289
5,04 3,24528
5,12 3,29366
5,2 3,34048
5,36 3,43233
5,6 3,56829
6 3,79337
6,48 4,06257
6,64 4,15171
6,72 4,19462
6,8 4,23254
6,88 4,26125
6,96 4,2812
7,04 4,29548
7,12 4,30639
7,2 4,31526
7,28 4,32264
7,44 4,33473
7,6 4,3446
7,76 4,35307
8 4,36408
8,24 4,37373
8,56 4,38521
8,96 4,3981
9,44 4,41214
10 4,42724
10,64 4,44335
11,44 4,46232
12,32 4,48217
13,2 4,50126
14,08 4,51979
14,96 4,5379
15,84 4,55567
16,72 4,57316
17,6 4,59043
18,48 4,6075
19,36 4,62441
20,24 4,64119
21,12 4,65784
22 4,67438
22,88 4,69083
23,76 4,70719
24,64 4,72348
25,52 4,7397
26,4 4,75585
27,28 4,77195
28,16 4,788
29,04 4,804
29,92 4,81996
30,8 4,83587
31,68 4,85175
32,56 4,86759
33,44 4,8834
34,32 4,89918
35,2 4,91493
36,08 4,93066
36,96 4,94636
37,84 4,96203
38,72 4,97768
39,6 4,99332
40,48 5,00893
41,36 5,02452
42,24 5,0401
43,12 5,05565
44 5,0712
44,88 5,08672
45,76 5,10223
46,64 5,11773
47,52 5,13322
48,4 5,14869
49,28 5,16415
50,16 5,17959
51,04 5,19503
51,92 5,21045
52,8 5,22587
53,68 5,24127
54,56 5,25666
55,44 5,27205
56,32 5,28743
57,2 5,30279
58,08 5,31815
58,96 5,3335
59,84 5,34885
60,72 5,36418
61,6 5,37951
62,48 5,39483
63,36 5,41015
64,24 5,42546
65,12 5,44076
66 5,45605
66,88 5,47134
67,76 5,48663
68,64 5,50191
69,52 5,51718
70,4 5,53245
71,28 5,54771
72,16 5,56297
73,04 5,57822
73,92 5,59347
74,8 5,60871
75,68 5,62395
76,56 5,63918
77,44 5,65441
78,32 5,66964
79,2 5,68486
80 5,69869
