0 1,80208e-023
0,24 5,61792e-009
0,48 4,06825e-007
0,72 4,29894e-005
0,96 0,00411482
1,2 0,0861703
1,44 0,266356
1,68 0,474551
1,92 0,693525
2,16 0,917086
2,4 1,14394
2,64 1,37272
2,88 1,60285
3,12 1,83398
3,36 2,06591
3,6 2,29845
4,08 2,76495
4,56 3,23285
5,04 3,70176
5,76 4,4065
6,72 5,34791
7,92 6,52652
9,84 8,41474
12,48 11,0134
15,12 13,6128
17,76 16,2119
20,4 18,8099
23,04 21,4064
25,68 24,0011
28,32 26,5937
30,96 29,184
33,6 31,7718
36,24 34,3568
38,88 36,939
40,08 38,1102
40,56 38,575
41,04 39,0289
41,28 39,2459
41,52 39,4507
41,76 39,6384
42 39,8056
42,24 39,9512
42,48 40,0768
42,72 40,1852
42,96 40,2795
43,2 40,3625
43,68 40,503
44,16 40,6193
44,64 40,719
45,12 40,8067
45,84 40,922
46,56 41,0235
47,52 41,1436
48,48 41,2511
49,68 41,3728
50,88 41,4841
52,32 41,6073
54 41,7403
55,92 41,8816
58,08 42,03
60,48 42,185
63,12 42,3461
65,76 42,4994
68,4 42,6464
71,04 42,7882
73,68 42,9258
76,32 43,0596
78,96 43,1903
81,6 43,3183
84,24 43,444
86,88 43,5676
89,52 43,6895
92,16 43,8097
94,8 43,9286
97,44 44,0463
100,08 44,1629
102,72 44,2785
105,36 44,3933
108 44,5074
110,64 44,6209
113,28 44,7338
115,92 44,8463
118,56 44,9583
121,2 45,07
123,84 45,1814
126,48 45,2926
129,12 45,4036
131,76 45,5145
134,4 45,6253
137,04 45,7361
139,68 45,8468
142,32 45,9576
144,96 46,0684
147,6 46,1793
150,24 46,2903
152,88 46,4015
155,52 46,5128
158,16 46,6243
160,8 46,7361
163,44 46,8481
166,08 46,9603
168,72 47,0729
171,36 47,1857
174 47,2989
176,64 47,4125
179,28 47,5264
181,92 47,6407
184,56 47,7554
187,2 47,8706
189,84 47,9862
192,48 48,1023
195,12 48,2189
197,76 48,336
200,4 48,4537
203,04 48,572
205,68 48,6909
208,32 48,8104
210,96 48,9306
213,6 49,0515
216,24 49,1731
218,88 49,2955
221,52 49,4188
224,16 49,5429
226,8 49,668
229,44 49,7941
232,08 49,9213
234,72 50,0496
237,36 50,1792
239,76 50,2983
