0 1,37403e-026
0,24 1,41532e-009
0,48 1,02491e-007
0,72 1,0837e-005
0,96 0,00109885
1,2 0,0462698
1,44 0,204328
1,68 0,402985
1,92 0,614215
2,16 0,830955
2,4 1,05128
2,64 1,27349
2,88 1,49691
3,12 1,7212
3,36 1,9461
3,84 2,39703
5,28 3,75269
6 4,42987
6,72 5,10572
7,44 5,77986
8,16 6,45199
8,88 7,12187
9,6 7,78931
10,32 8,45414
11,04 9,11622
11,76 9,77541
12,48 10,4316
13,2 11,0847
13,92 11,7347
14,64 12,3813
15,36 13,0247
16,08 13,6646
16,8 14,3011
17,52 14,9341
18,24 15,5636
18,96 16,1896
19,68 16,812
20,4 17,4308
21,36 18,2503
22,32 19,0634
23,28 19,8703
24,24 20,6708
25,2 21,4652
26,16 22,2534
27,12 23,0355
28,08 23,8118
29,04 24,5822
30 25,3469
30,96 26,1061
32,16 27,0475
33,36 27,9807
34,56 28,906
35,76 29,8237
36,96 30,7341
38,16 31,6375
39,6 32,7127
41,04 33,7789
42,48 34,8363
43,92 35,8856
45,36 36,9272
46,8 37,9611
47,76 38,6449
48,48 39,1501
48,96 39,4767
49,44 39,7846
49,68 39,9273
49,92 40,0604
50,16 40,1826
50,4 40,2938
50,64 40,3942
50,88 40,4847
51,36 40,6406
51,84 40,7703
52,32 40,8809
52,8 40,9773
53,28 41,063
54 41,1768
54,72 41,2775
55,68 41,3971
56,64 41,5045
57,84 41,6262
59,28 41,759
60,72 41,881
62,4 42,0131
64,32 42,1539
66,48 42,3022
68,88 42,4574
71,52 42,619
74,16 42,773
76,8 42,9208
79,44 43,0636
82,08 43,202
84,72 43,3369
87,36 43,4687
90 43,5978
92,64 43,7245
95,28 43,8493
97,92 43,9722
100,56 44,0936
103,2 44,2136
105,84 44,3325
108,48 44,4502
111,12 44,5671
113,76 44,6831
116,4 44,7984
119,04 44,9131
121,68 45,0273
124,32 45,141
126,96 45,2544
129,6 45,3674
132,24 45,4801
134,88 45,5927
137,52 45,7051
140,16 45,8174
142,8 45,9296
145,44 46,0417
148,08 46,1539
150,72 46,2662
153,36 46,3785
156 46,4909
158,64 46,6034
161,28 46,7161
163,92 46,8291
166,56 46,9422
169,2 47,0556
171,84 47,1692
174,48 47,2832
177,12 47,3974
179,76 47,512
182,4 47,627
185,04 47,7423
187,68 47,8581
190,32 47,9743
192,96 48,0909
195,6 48,2081
198,24 48,3257
200,88 48,4439
203,52 48,5626
206,16 48,6819
208,8 48,8019
211,44 48,9225
214,08 49,0438
216,72 49,1658
219,36 49,2886
222 49,4122
224,64 49,5367
227,28 49,6621
229,92 49,7885
232,56 49,916
235,2 50,0447
237,84 50,1746
239,76 50,27
