1 85,3519
1,023292992 85,3518
1,047128548 85,3518
1,071519305 85,3518
1,096478196 85,3517
1,122018454 85,3517
1,148153621 85,3517
1,174897555 85,3516
1,202264435 85,3516
1,230268771 85,3515
1,258925412 85,3515
1,288249552 85,3515
1,318256739 85,3514
1,348962883 85,3514
1,380384265 85,3513
1,412537545 85,3512
1,445439771 85,3512
1,479108388 85,3511
1,513561248 85,3511
1,548816619 85,351
1,584893192 85,3509
1,621810097 85,3509
1,659586907 85,3508
1,698243652 85,3507
1,737800829 85,3506
1,77827941 85,3505
1,819700859 85,3504
1,862087137 85,3503
1,905460718 85,3502
1,9498446 85,3501
1,995262315 85,35
2,041737945 85,3499
2,089296131 85,3498
2,13796209 85,3497
2,187761624 85,3495
2,238721139 85,3494
2,290867653 85,3492
2,344228815 85,3491
2,398832919 85,3489
2,454708916 85,3488
2,511886432 85,3486
2,570395783 85,3484
2,630267992 85,3482
2,691534804 85,348
2,754228703 85,3478
2,818382931 85,3476
2,884031503 85,3473
2,951209227 85,3471
3,01995172 85,3469
3,090295433 85,3466
3,16227766 85,3463
3,235936569 85,346
3,311311215 85,3457
3,388441561 85,3454
3,467368505 85,3451
3,548133892 85,3447
3,630780548 85,3443
3,715352291 85,344
3,801893963 85,3436
3,89045145 85,3431
3,981071706 85,3427
4,073802778 85,3422
4,168693835 85,3418
4,265795188 85,3413
4,365158322 85,3407
4,466835922 85,3402
4,570881896 85,3396
4,677351413 85,339
4,786300923 85,3384
4,897788194 85,3377
5,011872336 85,337
5,12861384 85,3363
5,248074602 85,3355
5,370317964 85,3347
5,495408739 85,3339
5,623413252 85,333
5,754399373 85,3321
5,888436554 85,3311
6,025595861 85,3301
6,165950019 85,3291
6,309573445 85,328
6,45654229 85,3268
6,60693448 85,3256
6,760829754 85,3244
6,918309709 85,323
7,079457844 85,3216
7,244359601 85,3202
7,413102413 85,3187
7,58577575 85,3171
7,762471166 85,3154
7,943282347 85,3137
8,128305162 85,3119
8,317637711 85,31
8,511380382 85,308
8,7096359 85,3059
8,912509381 85,3037
9,120108394 85,3014
9,332543008 85,299
9,54992586 85,2965
9,77237221 85,2939
10 85,2912
10,23292992 85,2883
10,47128548 85,2853
10,71519305 85,2822
10,96478196 85,2789
11,22018454 85,2755
11,48153621 85,2719
11,74897555 85,2681
12,02264435 85,2642
12,30268771 85,26
12,58925412 85,2557
12,88249552 85,2512
13,18256739 85,2465
13,48962883 85,2416
13,80384265 85,2364
14,12537545 85,231
14,45439771 85,2254
14,79108388 85,2195
15,13561248 85,2133
15,48816619 85,2069
15,84893192 85,2001
16,21810097 85,1931
16,59586907 85,1857
16,98243652 85,178
17,37800829 85,1699
17,7827941 85,1615
18,19700859 85,1527
18,62087137 85,1435
19,05460718 85,1339
19,498446 85,1239
19,95262315 85,1134
20,41737945 85,1025
20,89296131 85,091
21,3796209 85,0791
21,87761624 85,0666
22,38721139 85,0536
22,90867653 85,04
23,44228815 85,0258
23,98832919 85,011
24,54708916 84,9956
25,11886432 84,9795
25,70395783 84,9627
26,30267992 84,9451
26,91534804 84,9268
27,54228703 84,9078
28,18382931 84,8879
28,84031503 84,8672
29,51209227 84,8456
30,1995172 84,8231
30,90295433 84,7997
31,6227766 84,7753
32,35936569 84,7499
33,11311215 84,7235
33,88441561 84,696
34,67368505 84,6673
35,48133892 84,6376
36,30780548 84,6066
37,15352291 84,5744
38,01893963 84,541
38,9045145 84,5062
39,81071706 84,4702
40,73802778 84,4327
41,68693835 84,3938
42,65795188 84,3534
43,65158322 84,3116
44,66835922 84,2682
45,70881896 84,2232
46,77351413 84,1766
47,86300923 84,1283
48,97788194 84,0783
50,11872336 84,0266
51,2861384 83,9731
52,48074602 83,9177
53,70317964 83,8605
54,95408739 83,8014
56,23413252 83,7404
57,54399373 83,6774
58,88436554 83,6124
60,25595861 83,5453
61,65950019 83,4762
63,09573445 83,405
64,5654229 83,3316
66,0693448 83,2561
67,60829754 83,1785
69,18309709 83,0986
70,79457844 83,0165
72,44359601 82,9322
74,13102413 82,8456
75,8577575 82,7568
77,62471166 82,6656
79,43282347 82,5722
81,28305162 82,4765
83,17637711 82,3785
85,11380382 82,2782
87,096359 82,1756
89,12509381 82,0707
91,20108394 81,9635
93,32543008 81,854
95,4992586 81,7422
97,7237221 81,6282
100 81,5119
102,3292992 81,3934
104,7128548 81,2727
107,1519305 81,1497
109,6478196 81,0246
112,2018454 80,8974
114,8153621 80,768
117,4897555 80,6366
120,2264435 80,5031
123,0268771 80,3676
125,8925412 80,23
128,8249552 80,0906
131,8256739 79,9491
134,8962883 79,8058
138,0384265 79,6607
141,2537545 79,5137
144,5439771 79,365
147,9108388 79,2145
151,3561248 79,0623
154,8816619 78,9085
158,4893192 78,753
162,1810097 78,596
165,9586907 78,4375
169,8243652 78,2774
173,7800829 78,1159
177,827941 77,953
181,9700859 77,7887
186,2087137 77,6231
190,5460718 77,4562
194,98446 77,2881
199,5262315 77,1187
204,1737945 76,9482
208,9296131 76,7765
213,796209 76,6037
218,7761624 76,4298
223,8721139 76,255
229,0867653 76,0791
234,4228815 75,9023
239,8832919 75,7245
245,4708916 75,5459
251,1886432 75,3663
257,0395783 75,186
263,0267992 75,0048
269,1534804 74,8229
275,4228703 74,6403
281,8382931 74,4569
288,4031503 74,2728
295,1209227 74,0881
301,995172 73,9027
309,0295433 73,7167
316,227766 73,5302
323,5936569 73,343
331,1311215 73,1554
338,8441561 72,9672
346,7368505 72,7785
354,8133892 72,5893
363,0780548 72,3996
371,5352291 72,2096
380,1893963 72,019
389,045145 71,8281
398,1071706 71,6368
407,3802778 71,4451
416,8693835 71,2531
426,5795188 71,0607
436,5158322 70,868
446,6835922 70,675
457,0881896 70,4816
467,7351413 70,288
478,6300923 70,0941
489,7788194 69,8999
501,1872336 69,7055
512,861384 69,5108
524,8074602 69,3159
537,0317964 69,1208
549,5408739 68,9254
562,3413252 68,7299
575,4399373 68,5341
588,8436554 68,3382
602,5595861 68,1421
616,5950019 67,9458
630,9573445 67,7494
645,654229 67,5528
660,693448 67,356
676,0829754 67,1591
691,8309709 66,9621
707,9457844 66,7649
724,4359601 66,5676
741,3102413 66,3702
758,577575 66,1727
776,2471166 65,975
794,3282347 65,7773
812,8305162 65,5795
831,7637711 65,3815
851,1380382 65,1835
870,96359 64,9854
891,2509381 64,7872
912,0108394 64,5889
933,2543008 64,3905
954,992586 64,1921
977,237221 63,9936
1000 63,795
1023,292992 63,5964
1047,128548 63,3977
1071,519305 63,1989
1096,478196 63,0001
1122,018454 62,8013
1148,153621 62,6023
1174,897555 62,4034
1202,264435 62,2044
1230,268771 62,0053
1258,925412 61,8062
1288,249552 61,6071
1318,256739 61,4079
1348,962883 61,2087
1380,384265 61,0094
1412,537545 60,8102
1445,439771 60,6109
1479,108388 60,4115
1513,561248 60,2121
1548,816619 60,0127
1584,893192 59,8133
1621,810097 59,6139
1659,586907 59,4144
1698,243652 59,2149
1737,800829 59,0153
1778,27941 58,8158
1819,700859 58,6162
1862,087137 58,4166
1905,460718 58,217
1949,8446 58,0174
1995,262315 57,8178
2041,737945 57,6181
2089,296131 57,4185
2137,96209 57,2188
2187,761624 57,0191
2238,721139 56,8194
2290,867653 56,6196
2344,228815 56,4199
2398,832919 56,2201
2454,708916 56,0204
2511,886432 55,8206
2570,395783 55,6208
2630,267992 55,421
2691,534804 55,2212
2754,228703 55,0214
2818,382931 54,8216
2884,031503 54,6218
2951,209227 54,4219
3019,95172 54,2221
3090,295433 54,0223
3162,27766 53,8224
3235,936569 53,6225
3311,311215 53,4227
3388,441561 53,2228
3467,368505 53,0229
3548,133892 52,823
3630,780548 52,6231
3715,352291 52,4232
3801,893963 52,2233
3890,45145 52,0234
3981,071706 51,8235
4073,802778 51,6236
4168,693835 51,4237
4265,795188 51,2238
4365,158322 51,0238
4466,835922 50,8239
4570,881896 50,624
4677,351413 50,424
4786,300923 50,2241
4897,788194 50,0242
5011,872336 49,8242
5128,61384 49,6243
5248,074602 49,4243
5370,317964 49,2244
5495,408739 49,0244
5623,413252 48,8245
5754,399373 48,6245
5888,436554 48,4246
6025,595861 48,2246
6165,950019 48,0246
6309,573445 47,8247
6456,54229 47,6247
6606,93448 47,4247
6760,829754 47,2248
6918,309709 47,0248
7079,457844 46,8248
7244,359601 46,6248
7413,102413 46,4249
7585,77575 46,2249
7762,471166 46,0249
7943,282347 45,8249
8128,305162 45,6249
8317,637711 45,425
8511,380382 45,225
8709,6359 45,025
8912,509381 44,825
9120,108394 44,625
9332,543008 44,425
9549,92586 44,2251
9772,37221 44,0251
10000 43,8251
10232,92992 43,6251
10471,28548 43,4251
10715,19305 43,2251
10964,78196 43,0251
11220,18454 42,8251
11481,53621 42,6251
11748,97555 42,4251
12022,64435 42,2251
12302,68771 42,0252
12589,25412 41,8252
12882,49552 41,6252
13182,56739 41,4252
13489,62883 41,2252
13803,84265 41,0252
14125,37545 40,8252
14454,39771 40,6252
14791,08388 40,4252
15135,61248 40,2252
15488,16619 40,0252
15848,93192 39,8252
16218,10097 39,6252
16595,86907 39,4252
16982,43652 39,2252
17378,00829 39,0252
17782,7941 38,8252
18197,00859 38,6251
18620,87137 38,4251
19054,60718 38,2251
19498,446 38,0251
19952,62315 37,8251
20417,37945 37,6251
20892,96131 37,4251
21379,6209 37,2251
21877,61624 37,0251
22387,21139 36,8251
22908,67653 36,6251
23442,28815 36,425
23988,32919 36,225
24547,08916 36,025
25118,86432 35,825
25703,95783 35,625
26302,67992 35,425
26915,34804 35,2249
27542,28703 35,0249
28183,82931 34,8249
28840,31503 34,6249
29512,09227 34,4248
30199,5172 34,2248
30902,95433 34,0248
31622,7766 33,8248
32359,36569 33,6247
33113,11215 33,4247
33884,41561 33,2247
34673,68505 33,0246
35481,33892 32,8246
36307,80548 32,6246
37153,52291 32,4245
38018,93963 32,2245
38904,5145 32,0244
39810,71706 31,8244
40738,02778 31,6243
41686,93835 31,4243
42657,95188 31,2242
43651,58322 31,0242
44668,35922 30,8241
45708,81896 30,6241
46773,51413 30,424
47863,00923 30,2239
48977,88194 30,0239
50118,72336 29,8238
51286,1384 29,6237
52480,74602 29,4236
53703,17964 29,2236
54954,08739 29,0235
56234,13252 28,8234
57543,99373 28,6233
58884,36554 28,4232
60255,95861 28,2231
61659,50019 28,023
63095,73445 27,8228
64565,4229 27,6227
66069,3448 27,4226
67608,29754 27,2225
69183,09709 27,0223
70794,57844 26,8222
72443,59601 26,622
74131,02413 26,4218
75857,7575 26,2217
77624,71166 26,0215
79432,82347 25,8213
81283,05162 25,6211
83176,37711 25,4209
85113,80382 25,2207
87096,359 25,0205
89125,09381 24,8202
91201,08394 24,62
93325,43008 24,4197
95499,2586 24,2195
97723,7221 24,0192
100000 23,8189
102329,2992 23,6186
104712,8548 23,4183
107151,9305 23,2179
109647,8196 23,0176
112201,8454 22,8172
114815,3621 22,6168
117489,7555 22,4164
120226,4435 22,216
123026,8771 22,0155
125892,5412 21,8151
128824,9552 21,6146
131825,6739 21,4141
134896,2883 21,2135
138038,4265 21,013
141253,7545 20,8124
144543,9771 20,6118
147910,8388 20,4111
151356,1248 20,2105
154881,6619 20,0097
158489,3192 19,809
162181,0097 19,6082
165958,6907 19,4074
169824,3652 19,2066
173780,0829 19,0057
177827,941 18,8048
181970,0859 18,6038
186208,7137 18,4028
190546,0718 18,2017
194984,46 18,0006
199526,2315 17,7994
204173,7945 17,5982
208929,6131 17,3969
213796,209 17,1956
218776,1624 16,9942
223872,1139 16,7927
229086,7653 16,5912
234422,8815 16,3896
239883,2919 16,1879
245470,8916 15,9861
251188,6432 15,7843
257039,5783 15,5823
263026,7992 15,3803
269153,4804 15,1782
275422,8703 14,976
281838,2931 14,7737
288403,1503 14,5712
295120,9227 14,3687
301995,172 14,166
309029,5433 13,9633
316227,766 13,7604
323593,6569 13,5573
331131,1215 13,3541
338844,1561 13,1508
346736,8505 12,9473
354813,3892 12,7437
363078,0548 12,5398
371535,2291 12,3358
380189,3963 12,1317
389045,145 11,9273
398107,1706 11,7227
407380,2778 11,5179
416869,3835 11,3129
426579,5188 11,1077
436515,8322 10,9022
446683,5922 10,6965
457088,1896 10,4905
467735,1413 10,2843
478630,0923 10,0777
489778,8194 9,8709
501187,2336 9,66375
512861,384 9,45627
524807,4602 9,24846
537031,7964 9,04029
549540,8739 8,83176
562341,3252 8,62284
575439,9373 8,41352
588843,6554 8,20378
602559,5861 7,99361
616595,0019 7,78298
630957,3445 7,57188
645654,229 7,36029
660693,448 7,14818
676082,9754 6,93554
691830,9709 6,72234
707945,7844 6,50857
724435,9601 6,29419
741310,2413 6,07918
758577,575 5,86353
776247,1166 5,64719
794328,2347 5,43015
812830,5162 5,21238
831763,7711 4,99385
851138,0382 4,77453
870963,59 4,55439
891250,9381 4,3334
912010,8394 4,11153
933254,3008 3,88875
954992,586 3,66502
977237,221 3,44032
1000000 3,21459
1023292,992 2,98782
1047128,548 2,75996
1071519,305 2,53098
1096478,196 2,30083
1122018,454 2,06949
1148153,621 1,83692
1174897,555 1,60307
1202264,435 1,3679
1230268,771 1,13138
1258925,412 0,893462
1288249,552 0,654111
1318256,739 0,413283
1348962,883 0,170939
1380384,265 -0,0729625
1412537,545 -0,318462
1445439,771 -0,565601
1479108,388 -0,814419
1513561,248 -1,06496
1548816,619 -1,31725
1584893,192 -1,57135
1621810,097 -1,82728
1659586,907 -2,08508
1698243,652 -2,3448
1737800,829 -2,60646
1778279,41 -2,8701
1819700,859 -3,13576
1862087,137 -3,40347
1905460,718 -3,67325
1949844,6 -3,94514
1995262,315 -4,21916
2041737,945 -4,49534
2089296,131 -4,77371
2137962,09 -5,05428
2187761,624 -5,33707
2238721,139 -5,62211
2290867,653 -5,90941
2344228,815 -6,19898
2398832,919 -6,49083
2454708,916 -6,78497
2511886,432 -7,08141
2570395,783 -7,38015
2630267,992 -7,68119
2691534,804 -7,98454
2754228,703 -8,29018
2818382,931 -8,59811
2884031,503 -8,90833
2951209,227 -9,22082
3019951,72 -9,53557
3090295,433 -9,85257
3162277,66 -10,1718
3235936,569 -10,4932
3311311,215 -10,8168
3388441,561 -11,1426
3467368,505 -11,4705
3548133,892 -11,8005
3630780,548 -12,1326
3715352,291 -12,4668
3801893,963 -12,803
3890451,45 -13,1411
3981071,706 -13,4812
4073802,778 -13,8232
4168693,835 -14,1671
4265795,188 -14,5129
4365158,322 -14,8604
4466835,922 -15,2097
4570881,896 -15,5607
4677351,413 -15,9134
4786300,923 -16,2678
4897788,194 -16,6237
5011872,336 -16,9812
5128613,84 -17,3403
5248074,602 -17,7008
5370317,964 -18,0627
5495408,739 -18,4261
5623413,252 -18,7908
5754399,373 -19,1568
5888436,554 -19,5241
6025595,861 -19,8927
6165950,019 -20,2624
6309573,445 -20,6333
6456542,29 -21,0054
6606934,48 -21,3785
6760829,754 -21,7527
6918309,709 -22,1279
7079457,844 -22,504
7244359,601 -22,8812
7413102,413 -23,2592
7585775,75 -23,6381
7762471,166 -24,0179
7943282,347 -24,3985
8128305,162 -24,7799
8317637,711 -25,1621
8511380,382 -25,545
8709635,9 -25,9286
8912509,381 -26,3129
9120108,394 -26,6978
9332543,008 -27,0834
9549925,86 -27,4695
9772372,21 -27,8563
10000000 -28,2436
10232929,92 -28,6314
10471285,48 -29,0198
10715193,05 -29,4086
10964781,96 -29,798
11220184,54 -30,1878
11481536,21 -30,578
11748975,55 -30,9686
12022644,35 -31,3597
12302687,71 -31,7511
12589254,12 -32,1429
12882495,52 -32,535
13182567,39 -32,9275
13489628,83 -33,3204
13803842,65 -33,7135
14125375,45 -34,1069
14454397,71 -34,5006
14791083,88 -34,8946
15135612,48 -35,2889
15488166,19 -35,6834
15848931,92 -36,0781
16218100,97 -36,4731
16595869,07 -36,8683
16982436,52 -37,2637
17378008,29 -37,6593
17782794,1 -38,0551
18197008,59 -38,4511
18620871,37 -38,8473
19054607,18 -39,2436
19498446 -39,6401
19952623,15 -40,0368
20417379,45 -40,4336
20892961,31 -40,8305
21379620,9 -41,2276
21877616,24 -41,6248
22387211,39 -42,0221
22908676,53 -42,4196
23442288,15 -42,8172
23988329,19 -43,2148
24547089,16 -43,6126
25118864,32 -44,0105
25703957,83 -44,4085
26302679,92 -44,8065
26915348,04 -45,2047
27542287,03 -45,6029
28183829,31 -46,0012
28840315,03 -46,3996
29512092,27 -46,798
30199517,2 -47,1966
30902954,33 -47,5952
31622776,6 -47,9938
32359365,69 -48,3925
33113112,15 -48,7913
33884415,61 -49,1901
34673685,05 -49,589
35481338,92 -49,9879
36307805,48 -50,3869
37153522,91 -50,7859
38018939,63 -51,185
38904514,5 -51,5841
39810717,06 -51,9832
40738027,78 -52,3824
41686938,35 -52,7817
42657951,88 -53,1809
43651583,22 -53,5802
44668359,22 -53,9795
45708818,96 -54,3789
46773514,13 -54,7783
47863009,23 -55,1777
48977881,94 -55,5771
