-15 13,9403
-14,7 13,9502
-14,4 13,9564
-11,1 13,9564
-7,8 13,956
-4,5 13,9555
-1,2 13,9551
-0,6 13,9534
-0,3 13,9396
1,310063169e-014 0,13601
0,3 -13,8512
0,6 -13,8695
0,9 -13,8583
1,5 -13,855
4,8 -13,855
8,1 -13,855
11,4 -13,855
14,7 -13,855
