1 87,3159
1,023292992 87,3159
1,047128548 87,3158
1,071519305 87,3158
1,096478196 87,3158
1,122018454 87,3158
1,148153621 87,3157
1,174897555 87,3157
1,202264435 87,3157
1,230268771 87,3156
1,258925412 87,3156
1,288249552 87,3156
1,318256739 87,3155
1,348962883 87,3155
1,380384265 87,3155
1,412537545 87,3154
1,445439771 87,3154
1,479108388 87,3153
1,513561248 87,3153
1,548816619 87,3152
1,584893192 87,3152
1,621810097 87,3151
1,659586907 87,315
1,698243652 87,315
1,737800829 87,3149
1,77827941 87,3148
1,819700859 87,3148
1,862087137 87,3147
1,905460718 87,3146
1,9498446 87,3145
1,995262315 87,3144
2,041737945 87,3144
2,089296131 87,3143
2,13796209 87,3142
2,187761624 87,3141
2,238721139 87,3139
2,290867653 87,3138
2,344228815 87,3137
2,398832919 87,3136
2,454708916 87,3135
2,511886432 87,3133
2,570395783 87,3132
2,630267992 87,313
2,691534804 87,3129
2,754228703 87,3127
2,818382931 87,3125
2,884031503 87,3123
2,951209227 87,3122
3,01995172 87,312
3,090295433 87,3117
3,16227766 87,3115
3,235936569 87,3113
3,311311215 87,3111
3,388441561 87,3108
3,467368505 87,3106
3,548133892 87,3103
3,630780548 87,31
3,715352291 87,3097
3,801893963 87,3094
3,89045145 87,309
3,981071706 87,3087
4,073802778 87,3083
4,168693835 87,308
4,265795188 87,3076
4,365158322 87,3071
4,466835922 87,3067
4,570881896 87,3063
4,677351413 87,3058
4,786300923 87,3053
4,897788194 87,3048
5,011872336 87,3042
5,12861384 87,3036
5,248074602 87,303
5,370317964 87,3024
5,495408739 87,3018
5,623413252 87,3011
5,754399373 87,3003
5,888436554 87,2996
6,025595861 87,2988
6,165950019 87,298
6,309573445 87,2971
6,45654229 87,2962
6,60693448 87,2953
6,760829754 87,2943
6,918309709 87,2932
7,079457844 87,2921
7,244359601 87,291
7,413102413 87,2898
7,58577575 87,2886
7,762471166 87,2873
7,943282347 87,2859
8,128305162 87,2845
8,317637711 87,283
8,511380382 87,2814
8,7096359 87,2797
8,912509381 87,278
9,120108394 87,2762
9,332543008 87,2743
9,54992586 87,2724
9,77237221 87,2703
10 87,2682
10,23292992 87,2659
10,47128548 87,2635
10,71519305 87,2611
10,96478196 87,2585
11,22018454 87,2558
11,48153621 87,2529
11,74897555 87,2499
12,02264435 87,2468
12,30268771 87,2436
12,58925412 87,2402
12,88249552 87,2366
13,18256739 87,2329
13,48962883 87,229
13,80384265 87,2249
14,12537545 87,2207
14,45439771 87,2162
14,79108388 87,2116
15,13561248 87,2067
15,48816619 87,2016
15,84893192 87,1962
16,21810097 87,1907
16,59586907 87,1848
16,98243652 87,1787
17,37800829 87,1723
17,7827941 87,1657
18,19700859 87,1587
18,62087137 87,1514
19,05460718 87,1438
19,498446 87,1358
19,95262315 87,1275
20,41737945 87,1188
20,89296131 87,1097
21,3796209 87,1002
21,87761624 87,0903
22,38721139 87,0799
22,90867653 87,0691
23,44228815 87,0578
23,98832919 87,0459
24,54708916 87,0336
25,11886432 87,0207
25,70395783 87,0073
26,30267992 86,9932
26,91534804 86,9786
27,54228703 86,9633
28,18382931 86,9473
28,84031503 86,9307
29,51209227 86,9133
30,1995172 86,8952
30,90295433 86,8763
31,6227766 86,8567
32,35936569 86,8362
33,11311215 86,8148
33,88441561 86,7925
34,67368505 86,7693
35,48133892 86,7452
36,30780548 86,72
37,15352291 86,6938
38,01893963 86,6666
38,9045145 86,6382
39,81071706 86,6087
40,73802778 86,5781
41,68693835 86,5462
42,65795188 86,5131
43,65158322 86,4786
44,66835922 86,4429
45,70881896 86,4058
46,77351413 86,3672
47,86300923 86,3272
48,97788194 86,2857
50,11872336 86,2427
51,2861384 86,1981
52,48074602 86,1519
53,70317964 86,104
54,95408739 86,0544
56,23413252 86,0031
57,54399373 85,95
58,88436554 85,8951
60,25595861 85,8384
61,65950019 85,7797
63,09573445 85,7192
64,5654229 85,6566
66,0693448 85,5921
67,60829754 85,5256
69,18309709 85,4569
70,79457844 85,3862
72,44359601 85,3134
74,13102413 85,2384
75,8577575 85,1613
77,62471166 85,082
79,43282347 85,0004
81,28305162 84,9166
83,17637711 84,8306
85,11380382 84,7423
87,096359 84,6517
89,12509381 84,5589
91,20108394 84,4637
93,32543008 84,3662
95,4992586 84,2665
97,7237221 84,1644
100 84,0601
102,3292992 83,9534
104,7128548 83,8445
107,1519305 83,7333
109,6478196 83,6198
112,2018454 83,504
114,8153621 83,386
117,4897555 83,2658
120,2264435 83,1435
123,0268771 83,0189
125,8925412 82,8922
128,8249552 82,7633
131,8256739 82,6324
134,8962883 82,4994
138,0384265 82,3643
141,2537545 82,2273
144,5439771 82,0883
147,9108388 81,9473
151,3561248 81,8044
154,8816619 81,6597
158,4893192 81,5132
162,1810097 81,3649
165,9586907 81,2148
169,8243652 81,0631
173,7800829 80,9096
177,827941 80,7546
181,9700859 80,5979
186,2087137 80,4397
190,5460718 80,28
194,98446 80,1189
199,5262315 79,9563
204,1737945 79,7924
208,9296131 79,6271
213,796209 79,4605
218,7761624 79,2926
223,8721139 79,1235
229,0867653 78,9533
234,4228815 78,7819
239,8832919 78,6093
245,4708916 78,4357
251,1886432 78,2611
257,0395783 78,0855
263,0267992 77,9089
269,1534804 77,7313
275,4228703 77,5529
281,8382931 77,3736
288,4031503 77,1934
295,1209227 77,0125
301,995172 76,8307
309,0295433 76,6482
316,227766 76,465
323,5936569 76,2811
331,1311215 76,0966
338,8441561 75,9113
346,7368505 75,7255
354,8133892 75,5391
363,0780548 75,3521
371,5352291 75,1645
380,1893963 74,9765
389,045145 74,7879
398,1071706 74,5988
407,3802778 74,4093
416,8693835 74,2193
426,5795188 74,0289
436,5158322 73,8381
446,6835922 73,6469
457,0881896 73,4553
467,7351413 73,2633
478,6300923 73,071
489,7788194 72,8784
501,1872336 72,6854
512,861384 72,4921
524,8074602 72,2986
537,0317964 72,1047
549,5408739 71,9106
562,3413252 71,7163
575,4399373 71,5217
588,8436554 71,3268
602,5595861 71,1317
616,5950019 70,9364
630,9573445 70,7409
645,654229 70,5452
660,693448 70,3493
676,0829754 70,1533
691,8309709 69,957
707,9457844 69,7606
724,4359601 69,5641
741,3102413 69,3673
758,577575 69,1705
776,2471166 68,9735
794,3282347 68,7763
812,8305162 68,5791
831,7637711 68,3817
851,1380382 68,1842
870,96359 67,9866
891,2509381 67,7889
912,0108394 67,591
933,2543008 67,3931
954,992586 67,1951
977,237221 66,997
1000 66,7988
1023,292992 66,6006
1047,128548 66,4022
1071,519305 66,2038
1096,478196 66,0053
1122,018454 65,8068
1148,153621 65,6081
1174,897555 65,4095
1202,264435 65,2107
