80 15,546
79,2 15,5381
78,32 15,5296
77,44 15,521
76,56 15,5124
75,68 15,5037
74,8 15,4949
73,92 15,4861
73,04 15,4772
72,16 15,4682
71,28 15,4592
70,4 15,4501
69,52 15,4408
68,64 15,4316
67,76 15,4222
66,88 15,4127
66 15,4032
65,12 15,3935
64,24 15,3838
63,36 15,3739
62,48 15,3639
61,6 15,3539
60,72 15,3437
59,84 15,3334
58,96 15,323
58,08 15,3124
57,2 15,3017
56,32 15,2909
55,44 15,2799
54,56 15,2687
53,68 15,2575
52,8 15,246
51,92 15,2343
51,04 15,2225
50,16 15,2105
49,28 15,1982
48,4 15,1858
47,52 15,1731
46,64 15,1602
45,76 15,147
44,88 15,1335
44 15,1198
43,12 15,1057
42,24 15,0913
41,36 15,0765
40,48 15,0614
39,6 15,0458
38,72 15,0298
37,84 15,0134
36,96 14,9963
36,08 14,9788
35,2 14,9606
34,32 14,9417
33,44 14,9221
32,56 14,9016
31,68 14,8802
30,8 14,8578
29,92 14,8342
29,04 14,8092
28,16 14,7827
27,28 14,7544
26,4 14,7241
25,52 14,6912
24,64 14,6554
23,84 14,6196
23,12 14,5842
22,48 14,5497
21,92 14,5165
21,36 14,48
20,88 14,4454
20,48 14,4138
20,08 14,3792
19,68 14,3408
19,36 14,3067
19,04 14,2691
18,72 14,227
18,48 14,192
18,24 14,1532
18 14,1099
17,76 14,0612
17,6 14,0249
17,44 13,9851
17,28 13,9412
17,12 13,8924
16,96 13,8378
16,8 13,7765
16,64 13,7075
16,48 13,6297
16,32 13,5424
16,16 13,4452
16 13,3385
15,84 13,2233
15,68 13,101
15,52 12,9734
15,36 12,8418
15,12 12,6398
14,8 12,3654
14,32 11,9491
13,68 11,3903
13,04 10,829
12,4 10,2654
11,76 9,69949
11,12 9,13133
10,56 8,6323
10 8,13148
9,44 7,62887
8,88 7,12446
8,32 6,61826
7,84 6,18294
7,36 5,74633
6,88 5,30844
6,4 4,86931
5,92 4,42898
5,44 3,98754
4,96 3,54508
4,48 3,10177
3,6 2,2877
3,2 1,91773
2,96 1,69605
2,72 1,47482
2,56 1,3277
2,4 1,18101
2,24 1,03489
2,16 0,962115
2,08 0,889571
2 0,817302
1,92 0,745364
1,84 0,673825
1,76 0,602775
1,68 0,53233
1,6 0,46265
1,52 0,393957
1,44 0,326574
1,36 0,260986
1,28 0,197965
1,2 0,138806
1,12 0,0860291
1,04 0,0433874
0,96 0,0160853
0,88 0,00436156
0,8 0,00100047
0,72 0,000218585
0,64 4,74695e-005
0,56 1,03748e-005
0,48 2,27171e-006
0,4 4,71649e-007
0,32 7,19444e-008
0,24 5,21418e-009
0,16 3,96067e-010
0,08 1,56e-010
1,351113665e-012 1,92714e-018
