0 5,61395e-026
0,08 2,14464e-010
0,16 4,92136e-009
0,24 1,08663e-007
0,32 2,39503e-006
0,4 5,25228e-005
0,48 0,00104428
0,56 0,00952041
0,64 0,02861
0,72 0,0523868
0,8 0,0781273
0,88 0,104739
0,96 0,131933
1,04 0,159438
1,12 0,187136
1,2 0,214962
1,28 0,24287
1,44 0,298809
1,68 0,382766
1,84 0,438649
2 0,494408
2,16 0,550013
2,32 0,605449
2,48 0,660703
2,64 0,715767
2,8 0,770638
2,96 0,825312
3,12 0,879788
3,28 0,934067
3,52 1,01512
3,76 1,09573
4 1,17591
4,24 1,25568
4,48 1,33503
4,72 1,41397
4,96 1,49253
5,2 1,5707
5,44 1,6485
5,68 1,72594
6 1,82864
6,32 1,93073
6,64 2,03225
6,96 2,1332
7,28 2,23361
7,6 2,3335
7,92 2,43289
8,32 2,55644
8,72 2,67927
9,12 2,80141
9,52 2,92289
9,92 3,04374
10,4 3,18797
10,88 3,33137
11,36 3,47399
11,92 3,63945
12,48 3,80395
13,04 3,96754
13,52 4,10698
13,92 4,22239
14,16 4,29096
14,4 4,35847
14,56 4,40244
14,72 4,44506
14,88 4,48572
15,04 4,52373
15,2 4,55851
15,28 4,57456
15,44 4,60391
15,6 4,62973
15,76 4,65234
15,92 4,67217
16,08 4,68965
16,24 4,70517
16,4 4,71904
16,56 4,73155
16,72 4,74291
16,96 4,75817
17,2 4,7717
17,44 4,78385
17,68 4,79486
18 4,80812
18,32 4,82007
18,72 4,83352
19,12 4,84568
19,6 4,85889
20,08 4,87092
20,64 4,88377
21,28 4,89721
22 4,91108
22,8 4,92527
23,68 4,93974
24,56 4,95327
25,44 4,96605
26,32 4,97824
27,2 4,98994
28,08 5,00125
28,96 5,01224
29,84 5,02295
30,72 5,03344
31,6 5,04375
32,48 5,05392
33,36 5,06396
34,24 5,0739
35,12 5,08377
36 5,09357
36,88 5,10334
37,76 5,11307
38,64 5,12278
39,52 5,13249
40,4 5,1422
41,28 5,15193
42,16 5,16167
43,04 5,17144
43,92 5,18124
44,8 5,19108
45,68 5,20097
46,56 5,2109
47,44 5,22089
48,32 5,23094
49,2 5,24104
50,08 5,25122
50,96 5,26146
51,84 5,27177
52,72 5,28216
53,6 5,29262
54,48 5,30317
55,36 5,31379
56,24 5,32451
57,12 5,3353
58 5,34619
58,88 5,35716
59,76 5,36823
60,64 5,37939
61,52 5,39064
62,4 5,402
63,28 5,41345
64,16 5,42499
65,04 5,43664
65,92 5,4484
66,8 5,46025
67,68 5,47221
68,56 5,48427
69,44 5,49644
70,32 5,50871
71,2 5,5211
72,08 5,53359
72,96 5,54619
73,84 5,5589
74,72 5,57172
75,6 5,58466
76,48 5,5977
77,36 5,61086
78,24 5,62414
79,12 5,63752
80 5,65103
