10 123,704
10,23292992 123,704
10,47128548 123,704
10,71519305 123,704
10,96478196 123,704
11,22018454 123,704
11,48153621 123,704
11,74897555 123,704
12,02264435 123,704
12,30268771 123,704
12,58925412 123,704
12,88249552 123,704
13,18256739 123,704
13,48962883 123,704
13,80384265 123,704
14,12537545 123,704
14,45439771 123,703
14,79108388 123,703
15,13561248 123,703
15,48816619 123,703
15,84893192 123,703
16,21810097 123,703
16,59586907 123,703
16,98243652 123,703
17,37800829 123,703
17,7827941 123,703
18,19700859 123,703
18,62087137 123,702
19,05460718 123,702
19,498446 123,702
19,95262315 123,702
20,41737945 123,702
20,89296131 123,702
21,3796209 123,702
21,87761624 123,701
22,38721139 123,701
22,90867653 123,701
23,44228815 123,701
23,98832919 123,701
24,54708916 123,7
25,11886432 123,7
25,70395783 123,7
26,30267992 123,7
26,91534804 123,7
27,54228703 123,699
28,18382931 123,699
28,84031503 123,699
29,51209227 123,698
30,1995172 123,698
30,90295433 123,698
31,6227766 123,697
32,35936569 123,697
33,11311215 123,697
33,88441561 123,696
34,67368505 123,696
35,48133892 123,695
36,30780548 123,695
37,15352291 123,695
38,01893963 123,694
38,9045145 123,694
39,81071706 123,693
40,73802778 123,692
41,68693835 123,692
42,65795188 123,691
43,65158322 123,691
44,66835922 123,69
45,70881896 123,689
46,77351413 123,688
47,86300923 123,688
48,97788194 123,687
50,11872336 123,686
51,2861384 123,685
52,48074602 123,684
53,70317964 123,683
54,95408739 123,682
56,23413252 123,681
57,54399373 123,68
58,88436554 123,679
60,25595861 123,678
61,65950019 123,676
63,09573445 123,675
64,5654229 123,674
66,0693448 123,672
67,60829754 123,671
69,18309709 123,669
70,79457844 123,667
72,44359601 123,665
74,13102413 123,664
75,8577575 123,662
77,62471166 123,66
79,43282347 123,657
81,28305162 123,655
83,17637711 123,653
85,11380382 123,65
87,096359 123,648
89,12509381 123,645
91,20108394 123,642
93,32543008 123,64
95,4992586 123,636
97,7237221 123,633
100 123,63
102,3292992 123,626
104,7128548 123,623
107,1519305 123,619
109,6478196 123,615
112,2018454 123,611
114,8153621 123,606
117,4897555 123,602
120,2264435 123,597
123,0268771 123,592
125,8925412 123,587
128,8249552 123,581
131,8256739 123,575
134,8962883 123,569
138,0384265 123,563
141,2537545 123,556
144,5439771 123,55
147,9108388 123,542
151,3561248 123,535
154,8816619 123,527
158,4893192 123,519
162,1810097 123,51
165,9586907 123,501
169,8243652 123,492
173,7800829 123,482
177,827941 123,472
181,9700859 123,461
186,2087137 123,45
190,5460718 123,438
194,98446 123,426
199,5262315 123,413
204,1737945 123,4
208,9296131 123,386
213,796209 123,372
218,7761624 123,357
223,8721139 123,341
229,0867653 123,325
234,4228815 123,307
239,8832919 123,29
245,4708916 123,271
251,1886432 123,252
257,0395783 123,231
263,0267992 123,21
269,1534804 123,188
275,4228703 123,165
281,8382931 123,141
288,4031503 123,117
295,1209227 123,091
301,995172 123,064
309,0295433 123,036
316,227766 123,007
323,5936569 122,976
331,1311215 122,945
338,8441561 122,912
346,7368505 122,878
354,8133892 122,843
363,0780548 122,806
371,5352291 122,768
