0 5,3829e-024
0,12 1,25898e-009
0,24 1,31341e-007
0,36 1,35655e-005
0,48 0,00116369
0,6 0,0142324
0,72 0,0367927
0,84 0,0619158
0,96 0,087983
1,08 0,114627
1,2 0,141524
1,32 0,168571
1,44 0,195719
1,68 0,250185
2,16 0,359306
2,52 0,441047
2,76 0,495436
3 0,549722
3,36 0,630938
3,72 0,711887
4,08 0,79256
4,44 0,872958
4,8 0,953084
5,16 1,03294
5,52 1,11254
5,88 1,19188
6,36 1,29729
6,84 1,40229
7,32 1,50688
7,8 1,6111
8,28 1,71496
8,88 1,84431
9,48 1,97316
10,08 2,10155
10,8 2,25505
11,52 2,40797
12,36 2,58572
13,2 2,76283
14,16 2,96454
15,24 3,19066
16,44 3,44106
17,76 3,71563
19,08 3,98945
20,4 4,26267
21,72 4,53543
23,04 4,80785
24,36 5,08003
25,68 5,35207
27 5,62406
28,32 5,89607
29,64 6,16818
30,96 6,44044
32,28 6,71293
33,6 6,98568
34,92 7,25875
36,24 7,53217
37,56 7,806
38,88 8,08026
40,2 8,35499
41,52 8,63021
42,84 8,90596
44,16 9,18226
45,48 9,45913
46,8 9,73658
48,12 10,0146
49,44 10,2929
50,52 10,5197
51,12 10,6443
51,6 10,742
51,96 10,8134
52,32 10,8823
52,68 10,9478
53,04 11,0092
53,28 11,0475
53,52 11,0835
53,76 11,1172
54,12 11,1635
54,48 11,2052
54,84 11,2425
55,2 11,2762
55,56 11,3067
55,92 11,3344
56,4 11,3679
56,88 11,398
57,36 11,4254
57,96 11,4565
58,56 11,4847
59,28 11,5156
60,12 11,5484
60,96 11,5784
61,92 11,6101
63 11,6429
64,2 11,6767
65,52 11,7114
66,84 11,744
68,16 11,775
69,48 11,8046
70,8 11,833
72,12 11,8606
73,44 11,8873
74,76 11,9134
76,08 11,939
77,4 11,964
78,72 11,9887
80,04 12,0129
81,36 12,0369
82,68 12,0606
84 12,0841
85,32 12,1073
86,64 12,1304
87,96 12,1533
89,28 12,1761
90,6 12,1988
91,92 12,2214
93,24 12,2439
94,56 12,2663
95,88 12,2887
97,2 12,311
98,52 12,3333
99,84 12,3556
101,16 12,3779
102,48 12,4001
103,8 12,4223
105,12 12,4446
106,44 12,4668
107,76 12,4891
109,08 12,5113
110,4 12,5336
111,72 12,5559
113,04 12,5782
114,36 12,6006
115,68 12,623
117 12,6454
118,32 12,6679
119,64 12,6904
119,88 12,6945
