0 3,12971e-030
0,12 2,50994e-009
0,24 2,61844e-007
0,36 2,70304e-005
0,48 0,00223718
0,6 0,0244421
0,72 0,0611953
0,84 0,101897
0,96 0,144086
1,08 0,187216
1,2 0,230776
1,32 0,274599
1,44 0,31861
1,56 0,362751
1,8 0,451271
2,64 0,761769
3 0,894693
3,36 1,0274
3,72 1,15984
4,08 1,292
4,44 1,42386
4,92 1,59922
5,4 1,77404
5,88 1,94833
6,36 2,1221
6,84 2,29537
7,44 2,51127
8,04 2,72645
8,64 2,94092
9,24 3,15473
9,96 3,41047
10,68 3,66536
11,52 3,96172
12,36 4,25707
13,32 4,59348
14,28 4,92878
15,36 5,30479
16,56 5,72123
17,88 6,17789
19,2 6,63324
20,52 7,08746
21,84 7,54073
23,16 7,99319
24,48 8,44498
25,8 8,89624
27,12 9,34706
28,44 9,79753
29,64 10,2064
30,24 10,4096
30,72 10,5698
31,08 10,6866
31,32 10,7615
31,56 10,8328
31,8 10,8995
32,04 10,9606
32,28 11,0158
32,52 11,0649
32,76 11,1085
33 11,1471
33,24 11,1814
33,48 11,2121
33,72 11,2398
34,08 11,2765
34,44 11,3087
34,8 11,3372
35,16 11,363
35,64 11,3937
36,12 11,4212
36,72 11,452
37,32 11,4798
38,04 11,5099
38,88 11,5416
39,72 11,5705
40,68 11,6008
41,76 11,6322
43,08 11,6675
44,4 11,7002
45,72 11,731
47,04 11,7601
48,36 11,7879
49,68 11,8146
51 11,8405
52,32 11,8655
53,64 11,89
54,96 11,9139
56,28 11,9373
57,6 11,9603
58,92 11,983
60,24 12,0053
61,56 12,0274
62,88 12,0493
64,2 12,0709
65,52 12,0924
66,84 12,1138
68,16 12,135
69,48 12,1561
70,8 12,1771
72,12 12,198
73,44 12,2188
74,76 12,2396
76,08 12,2604
77,4 12,2811
78,72 12,3018
80,04 12,3224
81,36 12,3431
82,68 12,3638
84 12,3844
85,32 12,4051
86,64 12,4257
87,96 12,4464
89,28 12,4671
90,6 12,4879
91,92 12,5086
93,24 12,5294
94,56 12,5503
95,88 12,5711
97,2 12,5921
98,52 12,613
99,84 12,634
101,16 12,6551
102,48 12,6762
103,8 12,6973
105,12 12,7186
106,44 12,7398
107,76 12,7612
109,08 12,7826
110,4 12,804
111,72 12,8255
113,04 12,8471
114,36 12,8687
115,68 12,8904
117 12,9122
118,32 12,934
119,64 12,956
119,88 12,9599
