0,1 101,229
0,1023292992 101,228
0,1047128548 101,227
0,1071519305 101,226
0,1096478196 101,224
0,1122018454 101,223
0,1148153621 101,222
0,1174897555 101,22
0,1202264435 101,219
0,1230268771 101,217
0,1258925412 101,215
0,1288249552 101,213
0,1318256739 101,211
0,1348962883 101,209
0,1380384265 101,207
0,1412537545 101,205
0,1445439771 101,203
0,1479108388 101,2
0,1513561248 101,198
0,1548816619 101,195
0,1584893192 101,192
0,1621810097 101,19
0,1659586907 101,187
0,1698243652 101,183
0,1737800829 101,18
0,177827941 101,177
0,1819700859 101,173
0,1862087137 101,169
0,1905460718 101,165
0,19498446 101,161
0,1995262315 101,157
0,2041737945 101,152
0,2089296131 101,148
0,213796209 101,143
0,2187761624 101,137
0,2238721139 101,132
0,2290867653 101,126
0,2344228815 101,12
0,2398832919 101,114
0,2454708916 101,108
0,2511886432 101,101
0,2570395783 101,094
0,2630267992 101,087
0,2691534804 101,079
0,2754228703 101,071
0,2818382931 101,062
0,2884031503 101,053
0,2951209227 101,044
0,301995172 101,035
0,3090295433 101,024
0,316227766 101,014
0,3235936569 101,003
0,3311311215 100,991
0,3388441561 100,979
0,3467368505 100,967
0,3548133892 100,954
0,3630780548 100,94
0,3715352291 100,926
0,3801893963 100,911
0,389045145 100,896
0,3981071706 100,879
0,4073802778 100,863
0,4168693835 100,845
0,4265795188 100,827
0,4365158322 100,807
0,4466835922 100,787
0,4570881896 100,767
0,4677351413 100,745
0,4786300923 100,722
0,4897788194 100,699
0,5011872336 100,674
0,512861384 100,649
0,5248074602 100,622
0,5370317964 100,595
0,5495408739 100,566
0,5623413252 100,536
0,5754399373 100,505
0,5888436554 100,473
0,6025595861 100,439
0,6165950019 100,404
0,6309573445 100,368
0,645654229 100,33
0,660693448 100,291
0,6760829754 100,251
0,6918309709 100,209
0,7079457844 100,165
0,7244359601 100,12
0,7413102413 100,073
0,758577575 100,025
0,7762471166 99,9748
0,7943282347 99,9229
0,8128305162 99,8692
0,8317637711 99,8136
0,8511380382 99,7562
0,87096359 99,6969
0,8912509381 99,6357
0,9120108394 99,5725
0,9332543008 99,5073
0,954992586 99,44
0,977237221 99,3707
1 99,2993
1,023292992 99,2257
1,047128548 99,15
1,071519305 99,0721
1,096478196 98,992
1,122018454 98,9097
1,148153621 98,8251
1,174897555 98,7383
1,202264435 98,6493
1,230268771 98,5579
1,258925412 98,4643
1,288249552 98,3683
1,318256739 98,2701
1,348962883 98,1695
1,380384265 98,0667
1,412537545 97,9616
1,445439771 97,8541
1,479108388 97,7444
1,513561248 97,6324
1,548816619 97,5181
1,584893192 97,4016
1,621810097 97,2829
1,659586907 97,1619
1,698243652 97,0388
1,737800829 96,9135
1,77827941 96,786
1,819700859 96,6565
1,862087137 96,5248
1,905460718 96,3911
1,9498446 96,2554
1,995262315 96,1176
2,041737945 95,978
2,089296131 95,8364
2,13796209 95,6929
2,187761624 95,5475
2,238721139 95,4004
2,290867653 95,2515
2,344228815 95,1008
2,398832919 94,9485
2,454708916 94,7945
2,511886432 94,6389
2,570395783 94,4817
2,630267992 94,323
2,691534804 94,1628
2,754228703 94,0011
2,818382931 93,8381
2,884031503 93,6737
2,951209227 93,5079
3,01995172 93,3409
3,090295433 93,1726
3,16227766 93,0031
3,235936569 92,8325
3,311311215 92,6607
3,388441561 92,4878
3,467368505 92,3138
3,548133892 92,1388
3,630780548 91,9629
3,715352291 91,7859
3,801893963 91,6081
3,89045145 91,4294
3,981071706 91,2498
4,073802778 91,0693
4,168693835 90,8881
4,265795188 90,7061
4,365158322 90,5234
4,466835922 90,3399
4,570881896 90,1558
4,677351413 89,971
4,786300923 89,7856
4,897788194 89,5995
5,011872336 89,4129
5,12861384 89,2257
5,248074602 89,038
5,370317964 88,8497
5,495408739 88,661
5,623413252 88,4718
5,754399373 88,2821
5,888436554 88,0919
6,025595861 87,9014
6,165950019 87,7104
6,309573445 87,5191
6,45654229 87,3274
6,60693448 87,1353
6,760829754 86,9429
6,918309709 86,7501
7,079457844 86,557
7,244359601 86,3637
7,413102413 86,17
7,58577575 85,9761
7,762471166 85,7819
7,943282347 85,5874
8,128305162 85,3927
8,317637711 85,1978
8,511380382 85,0027
8,7096359 84,8073
8,912509381 84,6117
9,120108394 84,416
9,332543008 84,22
9,54992586 84,0239
9,77237221 83,8276
10 83,6311
10,23292992 83,4345
10,47128548 83,2377
10,71519305 83,0408
10,96478196 82,8438
11,22018454 82,6466
11,48153621 82,4493
11,74897555 82,2519
12,02264435 82,0543
12,30268771 81,8567
12,58925412 81,6589
12,88249552 81,4611
13,18256739 81,2631
13,48962883 81,0651
13,80384265 80,8669
14,12537545 80,6687
14,45439771 80,4704
14,79108388 80,2721
15,13561248 80,0736
15,48816619 79,8751
15,84893192 79,6765
16,21810097 79,4779
16,59586907 79,2792
16,98243652 79,0804
17,37800829 78,8816
17,7827941 78,6828
18,19700859 78,4838
18,62087137 78,2849
19,05460718 78,0859
19,498446 77,8868
19,95262315 77,6877
20,41737945 77,4886
20,89296131 77,2894
21,3796209 77,0902
21,87761624 76,8909
22,38721139 76,6916
22,90867653 76,4923
23,44228815 76,293
23,98832919 76,0936
24,54708916 75,8942
25,11886432 75,6948
25,70395783 75,4953
26,30267992 75,2958
26,91534804 75,0963
27,54228703 74,8968
28,18382931 74,6972
28,84031503 74,4977
29,51209227 74,2981
30,1995172 74,0985
30,90295433 73,8989
31,6227766 73,6992
32,35936569 73,4996
33,11311215 73,2999
33,88441561 73,1002
34,67368505 72,9005
35,48133892 72,7008
36,30780548 72,5011
37,15352291 72,3013
38,01893963 72,1016
38,9045145 71,9018
39,81071706 71,702
40,73802778 71,5023
41,68693835 71,3025
42,65795188 71,1027
43,65158322 70,9028
44,66835922 70,703
45,70881896 70,5032
46,77351413 70,3034
47,86300923 70,1035
48,97788194 69,9037
50,11872336 69,7038
51,2861384 69,5039
52,48074602 69,3041
53,70317964 69,1042
54,95408739 68,9043
56,23413252 68,7044
57,54399373 68,5045
58,88436554 68,3046
60,25595861 68,1047
61,65950019 67,9048
63,09573445 67,7049
64,5654229 67,505
66,0693448 67,3051
67,60829754 67,1052
69,18309709 66,9053
70,79457844 66,7053
72,44359601 66,5054
74,13102413 66,3055
75,8577575 66,1055
77,62471166 65,9056
79,43282347 65,7056
81,28305162 65,5057
83,17637711 65,3057
85,11380382 65,1058
87,096359 64,9058
89,12509381 64,7059
91,20108394 64,5059
93,32543008 64,306
95,4992586 64,106
97,7237221 63,9061
100 63,7061
102,3292992 63,5061
104,7128548 63,3062
107,1519305 63,1062
109,6478196 62,9062
112,2018454 62,7062
114,8153621 62,5063
117,4897555 62,3063
120,2264435 62,1063
123,0268771 61,9063
125,8925412 61,7064
128,8249552 61,5064
131,8256739 61,3064
134,8962883 61,1064
138,0384265 60,9065
141,2537545 60,7065
144,5439771 60,5065
147,9108388 60,3065
151,3561248 60,1065
154,8816619 59,9065
158,4893192 59,7065
162,1810097 59,5066
165,9586907 59,3066
169,8243652 59,1066
173,7800829 58,9066
177,827941 58,7066
181,9700859 58,5066
186,2087137 58,3066
190,5460718 58,1066
194,98446 57,9067
199,5262315 57,7067
204,1737945 57,5067
208,9296131 57,3067
213,796209 57,1067
218,7761624 56,9067
223,8721139 56,7067
229,0867653 56,5067
234,4228815 56,3067
239,8832919 56,1067
245,4708916 55,9067
251,1886432 55,7067
257,0395783 55,5067
263,0267992 55,3067
269,1534804 55,1067
275,4228703 54,9068
281,8382931 54,7068
288,4031503 54,5068
295,1209227 54,3068
301,995172 54,1068
309,0295433 53,9068
316,227766 53,7068
323,5936569 53,5068
331,1311215 53,3068
338,8441561 53,1068
346,7368505 52,9068
354,8133892 52,7068
363,0780548 52,5068
371,5352291 52,3068
380,1893963 52,1068
389,045145 51,9068
398,1071706 51,7068
407,3802778 51,5068
416,8693835 51,3068
426,5795188 51,1068
436,5158322 50,9068
446,6835922 50,7068
457,0881896 50,5068
467,7351413 50,3068
478,6300923 50,1068
489,7788194 49,9068
501,1872336 49,7068
512,861384 49,5068
524,8074602 49,3068
537,0317964 49,1068
549,5408739 48,9068
562,3413252 48,7068
575,4399373 48,5068
588,8436554 48,3068
602,5595861 48,1068
616,5950019 47,9068
630,9573445 47,7068
645,654229 47,5068
660,693448 47,3068
676,0829754 47,1068
691,8309709 46,9068
707,9457844 46,7068
724,4359601 46,5068
741,3102413 46,3068
758,577575 46,1068
776,2471166 45,9068
794,3282347 45,7068
812,8305162 45,5068
831,7637711 45,3068
851,1380382 45,1068
870,96359 44,9068
891,2509381 44,7068
912,0108394 44,5068
933,2543008 44,3068
954,992586 44,1068
977,237221 43,9068
1000 43,7068
1023,292992 43,5068
1047,128548 43,3068
1071,519305 43,1068
1096,478196 42,9068
1122,018454 42,7068
1148,153621 42,5068
1174,897555 42,3068
1202,264435 42,1068
1230,268771 41,9068
1258,925412 41,7068
1288,249552 41,5068
1318,256739 41,3068
1348,962883 41,1068
1380,384265 40,9068
1412,537545 40,7068
1445,439771 40,5068
1479,108388 40,3068
1513,561248 40,1068
1548,816619 39,9068
1584,893192 39,7068
1621,810097 39,5068
1659,586907 39,3068
1698,243652 39,1068
1737,800829 38,9068
1778,27941 38,7068
1819,700859 38,5068
1862,087137 38,3068
1905,460718 38,1068
1949,8446 37,9068
1995,262315 37,7068
2041,737945 37,5068
2089,296131 37,3068
2137,96209 37,1068
2187,761624 36,9068
2238,721139 36,7068
2290,867653 36,5068
2344,228815 36,3068
2398,832919 36,1068
2454,708916 35,9068
2511,886432 35,7068
2570,395783 35,5068
2630,267992 35,3068
2691,534804 35,1068
2754,228703 34,9067
2818,382931 34,7067
2884,031503 34,5067
2951,209227 34,3067
3019,95172 34,1067
3090,295433 33,9067
3162,27766 33,7067
3235,936569 33,5067
3311,311215 33,3067
3388,441561 33,1067
3467,368505 32,9067
3548,133892 32,7067
3630,780548 32,5067
3715,352291 32,3067
3801,893963 32,1066
3890,45145 31,9066
3981,071706 31,7066
4073,802778 31,5066
4168,693835 31,3066
4265,795188 31,1066
4365,158322 30,9066
4466,835922 30,7066
4570,881896 30,5066
4677,351413 30,3065
4786,300923 30,1065
4897,788194 29,9065
5011,872336 29,7065
5128,61384 29,5065
5248,074602 29,3065
5370,317964 29,1064
5495,408739 28,9064
5623,413252 28,7064
5754,399373 28,5064
5888,436554 28,3064
6025,595861 28,1063
6165,950019 27,9063
6309,573445 27,7063
6456,54229 27,5063
6606,93448 27,3062
6760,829754 27,1062
6918,309709 26,9062
7079,457844 26,7062
7244,359601 26,5061
7413,102413 26,3061
7585,77575 26,106
7762,471166 25,906
7943,282347 25,706
8128,305162 25,5059
8317,637711 25,3059
8511,380382 25,1058
8709,6359 24,9058
8912,509381 24,7057
9120,108394 24,5057
9332,543008 24,3056
9549,92586 24,1056
9772,37221 23,9055
10000 23,7055
10232,92992 23,5054
10471,28548 23,3053
10715,19305 23,1052
10964,78196 22,9052
11220,18454 22,7051
11481,53621 22,505
11748,97555 22,3049
12022,64435 22,1048
12302,68771 21,9047
12589,25412 21,7046
12882,49552 21,5045
13182,56739 21,3044
13489,62883 21,1043
13803,84265 20,9042
14125,37545 20,7041
14454,39771 20,5039
14791,08388 20,3038
15135,61248 20,1036
15488,16619 19,9035
15848,93192 19,7033
16218,10097 19,5032
16595,86907 19,303
16982,43652 19,1028
17378,00829 18,9026
17782,7941 18,7024
18197,00859 18,5022
18620,87137 18,302
19054,60718 18,1018
19498,446 17,9015
19952,62315 17,7013
20417,37945 17,501
20892,96131 17,3007
21379,6209 17,1005
21877,61624 16,9002
22387,21139 16,6998
22908,67653 16,4995
23442,28815 16,2992
23988,32919 16,0988
24547,08916 15,8984
25118,86432 15,698
25703,95783 15,4976
26302,67992 15,2972
26915,34804 15,0967
27542,28703 14,8962
28183,82931 14,6957
28840,31503 14,4952
29512,09227 14,2947
30199,5172 14,0941
30902,95433 13,8935
31622,7766 13,6929
32359,36569 13,4922
33113,11215 13,2915
33884,41561 13,0908
34673,68505 12,8901
35481,33892 12,6893
36307,80548 12,4885
37153,52291 12,2876
38018,93963 12,0867
38904,5145 11,8857
39810,71706 11,6848
40738,02778 11,4837
41686,93835 11,2826
42657,95188 11,0815
43651,58322 10,8803
44668,35922 10,6791
45708,81896 10,4778
46773,51413 10,2764
47863,00923 10,075
48977,88194 9,8735
50118,72336 9,67194
51286,1384 9,4703
52480,74602 9,2686
53703,17964 9,06681
54954,08739 8,86494
56234,13252 8,66299
57543,99373 8,46094
58884,36554 8,2588
60255,95861 8,05656
61659,50019 7,85422
63095,73445 7,65177
64565,4229 7,44921
66069,3448 7,24653
67608,29754 7,04373
69183,09709 6,8408
70794,57844 6,63774
72443,59601 6,43454
74131,02413 6,23119
75857,7575 6,02769
77624,71166 5,82403
79432,82347 5,6202
81283,05162 5,4162
83176,37711 5,21202
85113,80382 5,00766
87096,359 4,8031
89125,09381 4,59833
91201,08394 4,39335
93325,43008 4,18814
95499,2586 3,98271
97723,7221 3,77703
100000 3,57111
102329,2992 3,36492
104712,8548 3,15846
107151,9305 2,95171
109647,8196 2,74468
112201,8454 2,53733
114815,3621 2,32967
117489,7555 2,12167
120226,4435 1,91333
123026,8771 1,70464
125892,5412 1,49557
128824,9552 1,28612
131825,6739 1,07626
134896,2883 0,865996
138038,4265 0,6553
141253,7545 0,444159
144543,9771 0,232557
147910,8388 0,0204774
151356,1248 -0,192095
154881,6619 -0,405178
158489,3192 -0,618788
162181,0097 -0,832943
165958,6907 -1,04766
169824,3652 -1,26296
173780,0829 -1,47885
177827,941 -1,69536
181970,0859 -1,9125
186208,7137 -2,1303
190546,0718 -2,34876
194984,46 -2,56792
199526,2315 -2,78778
204173,7945 -3,00836
208929,6131 -3,22968
213796,209 -3,45176
218776,1624 -3,67462
223872,1139 -3,89827
229086,7653 -4,12272
234422,8815 -4,348
239883,2919 -4,57412
245470,8916 -4,80108
251188,6432 -5,02891
257039,5783 -5,25762
263026,7992 -5,48721
269153,4804 -5,71769
275422,8703 -5,94908
281838,2931 -6,18138
288403,1503 -6,4146
295120,9227 -6,64874
301995,172 -6,8838
309029,5433 -7,11978
316227,766 -7,35669
323593,6569 -7,59452
331131,1215 -7,83325
338844,1561 -8,0729
346736,8505 -8,31344
354813,3892 -8,55486
363078,0548 -8,79716
371535,2291 -9,04031
380189,3963 -9,2843
389045,145 -9,52911
398107,1706 -9,7747
407380,2778 -10,0211
416869,3835 -10,2682
426579,5188 -10,516
436515,8322 -10,7645
446683,5922 -11,0136
457088,1896 -11,2633
467735,1413 -11,5136
478630,0923 -11,7645
489778,8194 -12,0158
501187,2336 -12,2676
512861,384 -12,5197
524807,4602 -12,7722
537031,7964 -13,025
549540,8739 -13,2781
562341,3252 -13,5314
575439,9373 -13,7848
588843,6554 -14,0383
602559,5861 -14,2919
616595,0019 -14,5455
630957,3445 -14,7991
645654,229 -15,0525
660693,448 -15,3058
676082,9754 -15,5589
691830,9709 -15,8118
707945,7844 -16,0644
724435,9601 -16,3166
741310,2413 -16,5685
758577,575 -16,8199
776247,1166 -17,0709
794328,2347 -17,3214
812830,5162 -17,5714
831763,7711 -17,8208
851138,0382 -18,0696
870963,59 -18,3177
891250,9381 -18,5653
912010,8394 -18,8121
933254,3008 -19,0582
954992,586 -19,3036
977237,221 -19,5483
1000000 -19,7922
1023292,992 -20,0353
1047128,548 -20,2777
1071519,305 -20,5193
1096478,196 -20,7601
1122018,454 -21,0001
1148153,621 -21,2393
1174897,555 -21,4778
1202264,435 -21,7154
1230268,771 -21,9523
1258925,412 -22,1884
1288249,552 -22,4237
1318256,739 -22,6583
1348962,883 -22,8922
1380384,265 -23,1254
1412537,545 -23,3579
1445439,771 -23,5896
1479108,388 -23,8208
1513561,248 -24,0513
1548816,619 -24,2811
1584893,192 -24,5104
1621810,097 -24,7392
1659586,907 -24,9674
1698243,652 -25,1951
1737800,829 -25,4223
1778279,41 -25,649
1819700,859 -25,8754
1862087,137 -26,1013
1905460,718 -26,3269
1949844,6 -26,5522
1995262,315 -26,7772
2041737,945 -27,0019
2089296,131 -27,2264
2137962,09 -27,4507
2187761,624 -27,6749
2238721,139 -27,8989
2290867,653 -28,1229
2344228,815 -28,3468
2398832,919 -28,5707
2454708,916 -28,7947
2511886,432 -29,0187
2570395,783 -29,2429
2630267,992 -29,4672
2691534,804 -29,6917
2754228,703 -29,9165
2818382,931 -30,1415
2884031,503 -30,3669
2951209,227 -30,5926
3019951,72 -30,8188
3090295,433 -31,0454
3162277,66 -31,2726
3235936,569 -31,5002
3311311,215 -31,7286
3388441,561 -31,9575
3467368,505 -32,1872
3548133,892 -32,4176
3630780,548 -32,6489
3715352,291 -32,881
3801893,963 -33,114
3890451,45 -33,348
3981071,706 -33,5831
4073802,778 -33,8192
4168693,835 -34,0566
4265795,188 -34,2951
4365158,322 -34,5349
4466835,922 -34,7761
4570881,896 -35,0186
4677351,413 -35,2627
4786300,923 -35,5083
4897788,194 -35,7555
5011872,336 -36,0044
5128613,84 -36,255
5248074,602 -36,5075
5370317,964 -36,7619
5495408,739 -37,0183
5623413,252 -37,2767
5754399,373 -37,5373
5888436,554 -37,8001
6025595,861 -38,0652
6165950,019 -38,3327
6309573,445 -38,6026
6456542,29 -38,8751
6606934,48 -39,1502
6760829,754 -39,428
6918309,709 -39,7087
7079457,844 -39,9922
7244359,601 -40,2786
7413102,413 -40,5681
7585775,75 -40,8608
7762471,166 -41,1567
7943282,347 -41,4558
8128305,162 -41,7584
8317637,711 -42,0644
8511380,382 -42,3739
8709635,9 -42,6871
8912509,381 -43,004
9120108,394 -43,3247
9332543,008 -43,6492
9549925,86 -43,9776
9772372,21 -44,31
10000000 -44,6465
10232929,92 -44,9871
10471285,48 -45,3318
10715193,05 -45,6808
10964781,96 -46,0341
11220184,54 -46,3917
11481536,21 -46,7537
11748975,55 -47,1201
12022644,35 -47,4909
12302687,71 -47,8662
12589254,12 -48,2461
12882495,52 -48,6305
13182567,39 -49,0194
13489628,83 -49,4129
13803842,65 -49,811
14125375,45 -50,2137
14454397,71 -50,6209
14791083,88 -51,0327
15135612,48 -51,4491
15488166,19 -51,87
15848931,92 -52,2954
16218100,97 -52,7253
16595869,07 -53,1597
16982436,52 -53,5986
17378008,29 -54,0418
17782794,1 -54,4893
18197008,59 -54,9412
18620871,37 -55,3974
19054607,18 -55,8577
19498446 -56,3222
19952623,15 -56,7907
20417379,45 -57,2633
20892961,31 -57,7398
21379620,9 -58,2202
21877616,24 -58,7045
22387211,39 -59,1924
22908676,53 -59,6841
23442288,15 -60,1793
23988329,19 -60,6781
24547089,16 -61,1802
25118864,32 -61,6858
25703957,83 -62,1946
26302679,92 -62,7066
26915348,04 -63,2217
27542287,03 -63,7399
28183829,31 -64,261
28840315,03 -64,785
29512092,27 -65,3117
30199517,2 -65,8412
30902954,33 -66,3733
31622776,6 -66,908
32359365,69 -67,4451
33113112,15 -67,9847
33884415,61 -68,5265
34673685,05 -69,0706
35481338,92 -69,6169
36307805,48 -70,1653
37153522,91 -70,7157
38018939,63 -71,2681
38904514,5 -71,8224
39810717,06 -72,3785
40738027,78 -72,9364
41686938,35 -73,496
42657951,88 -74,0572
43651583,22 -74,62
44668359,22 -75,1843
45708818,96 -75,7501
46773514,13 -76,3173
47863009,23 -76,8859
48977881,94 -77,4557
50118723,36 -78,0269
51286138,4 -78,5992
52480746,02 -79,1727
53703179,64 -79,7473
54954087,39 -80,323
56234132,52 -80,8997
57543993,73 -81,4774
58884365,54 -82,0561
60255958,61 -82,6357
61659500,19 -83,2161
63095734,45 -83,7974
64565422,9 -84,3795
66069344,8 -84,9623
67608297,54 -85,5459
69183097,09 -86,1302
70794578,44 -86,7152
72443596,01 -87,3009
74131024,13 -87,8871
75857757,5 -88,474
77624711,66 -89,0614
79432823,47 -89,6494
81283051,62 -90,2379
83176377,11 -90,8269
85113803,82 -91,4164
87096359 -92,0064
89125093,81 -92,5967
91201083,94 -93,1876
93325430,08 -93,7788
95499258,6 -94,3704
97723722,1 -94,9624
100000000 -95,5547
102329299,2 -96,1474
104712854,8 -96,7404
107151930,5 -97,3337
109647819,6 -97,9273
112201845,4 -98,5211
114815362,1 -99,1153
117489755,5 -99,7097
120226443,5 -100,304
123026877,1 -100,899
125892541,2 -101,494
128824955,2 -102,09
131825673,9 -102,685
134896288,3 -103,281
138038426,5 -103,877
141253754,5 -104,473
144543977,1 -105,069
147910838,8 -105,666
151356124,8 -106,262
154881661,9 -106,859
158489319,2 -107,456
162181009,7 -108,053
165958690,7 -108,65
169824365,2 -109,248
173780082,9 -109,845
177827941 -110,443
181970085,9 -111,04
186208713,7 -111,638
190546071,8 -112,236
194984460 -112,834
199526231,5 -113,432
204173794,5 -114,03
208929613,1 -114,628
213796209 -115,227
218776162,4 -115,825
223872113,9 -116,423
229086765,3 -117,022
234422881,5 -117,62
239883291,9 -118,219
245470891,6 -118,818
251188643,2 -119,417
257039578,3 -120,015
263026799,2 -120,614
269153480,4 -121,213
275422870,3 -121,812
281838293,1 -122,411
288403150,3 -123,01
295120922,7 -123,609
301995172 -124,208
309029543,3 -124,808
316227766 -125,407
323593656,9 -126,006
331131121,5 -126,605
338844156,1 -127,205
346736850,5 -127,804
354813389,2 -128,403
363078054,8 -129,003
371535229,1 -129,602
380189396,3 -130,202
389045145 -130,801
398107170,6 -131,401
407380277,8 -132
416869383,5 -132,6
426579518,8 -133,199
436515832,2 -133,799
446683592,2 -134,399
457088189,6 -134,998
467735141,3 -135,598
478630092,3 -136,198
489778819,4 -136,797
501187233,6 -137,397
512861384 -137,997
524807460,2 -138,596
537031796,4 -139,196
549540873,9 -139,796
562341325,2 -140,396
575439937,3 -140,995
588843655,4 -141,595
602559586,1 -142,195
616595001,9 -142,795
630957344,5 -143,394
645654229 -143,994
660693448 -144,594
676082975,4 -145,194
691830970,9 -145,794
707945784,4 -146,394
724435960,1 -146,993
741310241,3 -147,593
758577575 -148,193
776247116,6 -148,793
794328234,7 -149,393
812830516,2 -149,993
831763771,1 -150,593
851138038,2 -151,193
870963590 -151,793
891250938,1 -152,392
912010839,4 -152,992
933254300,8 -153,592
954992586 -154,192
977237221 -154,792
1000000000 -155,392
