100 48,7239
85113,80382 48,7026
87096,359 48,7016
89125,09381 48,7006
91201,08394 48,6995
93325,43008 48,6983
95499,2586 48,6971
97723,7221 48,6959
100000 48,6946
102329,2992 48,6932
104712,8548 48,6918
107151,9305 48,6903
109647,8196 48,6887
112201,8454 48,687
114815,3621 48,6853
117489,7555 48,6835
120226,4435 48,6816
123026,8771 48,6796
125892,5412 48,6775
128824,9552 48,6754
131825,6739 48,6731
134896,2883 48,6707
138038,4265 48,6682
141253,7545 48,6656
144543,9771 48,6629
147910,8388 48,66
151356,1248 48,657
154881,6619 48,6539
158489,3192 48,6507
162181,0097 48,6472
165958,6907 48,6437
169824,3652 48,6399
173780,0829 48,636
177827,941 48,6319
181970,0859 48,6276
186208,7137 48,6231
190546,0718 48,6184
194984,46 48,6135
199526,2315 48,6084
204173,7945 48,603
208929,6131 48,5974
213796,209 48,5915
218776,1624 48,5854
223872,1139 48,579
229086,7653 48,5723
234422,8815 48,5653
239883,2919 48,5579
245470,8916 48,5503
251188,6432 48,5423
257039,5783 48,5339
263026,7992 48,5251
269153,4804 48,516
275422,8703 48,5064
281838,2931 48,4964
288403,1503 48,486
295120,9227 48,4751
301995,172 48,4637
309029,5433 48,4519
316227,766 48,4394
323593,6569 48,4265
331131,1215 48,413
338844,1561 48,3988
346736,8505 48,3841
354813,3892 48,3687
363078,0548 48,3527
371535,2291 48,336
380189,3963 48,3185
389045,145 48,3003
398107,1706 48,2813
407380,2778 48,2615
416869,3835 48,2409
426579,5188 48,2194
436515,8322 48,197
446683,5922 48,1737
457088,1896 48,1494
467735,1413 48,1242
478630,0923 48,0978
489778,8194 48,0704
501187,2336 48,0419
512861,384 48,0123
524807,4602 47,9815
537031,7964 47,9494
549540,8739 47,9161
562341,3252 47,8815
575439,9373 47,8456
588843,6554 47,8083
602559,5861 47,7696
616595,0019 47,7294
630957,3445 47,6877
645654,229 47,6445
660693,448 47,5996
676082,9754 47,5532
691830,9709 47,5051
707945,7844 47,4553
724435,9601 47,4038
741310,2413 47,3505
758577,575 47,2953
776247,1166 47,2383
794328,2347 47,1794
812830,5162 47,1186
831763,7711 47,0558
851138,0382 46,991
870963,59 46,9242
891250,9381 46,8553
912010,8394 46,7843
933254,3008 46,7112
954992,586 46,636
977237,221 46,5585
1000000 46,4789
1023292,992 46,3971
1047128,548 46,313
1071519,305 46,2267
1096478,196 46,1381
1122018,454 46,0472
1148153,621 45,9541
1174897,555 45,8586
1202264,435 45,7608
1230268,771 45,6608
1258925,412 45,5584
1288249,552 45,4538
1318256,739 45,3468
1348962,883 45,2376
1380384,265 45,1261
1412537,545 45,0123
1445439,771 44,8962
1479108,388 44,778
1513561,248 44,6575
1548816,619 44,5348
1584893,192 44,41
1621810,097 44,283
1659586,907 44,1538
1698243,652 44,0226
1737800,829 43,8893
1778279,41 43,754
1819700,859 43,6167
1862087,137 43,4774
1905460,718 43,3362
1949844,6 43,1932
1995262,315 43,0482
2041737,945 42,9014
2089296,131 42,7529
2137962,09 42,6026
2187761,624 42,4506
2238721,139 42,297
2290867,653 42,1417
2344228,815 41,9848
2398832,919 41,8265
2454708,916 41,6666
2511886,432 41,5052
2570395,783 41,3425
2630267,992 41,1783
2691534,804 41,0129
2754228,703 40,8461
2818382,931 40,6781
2884031,503 40,5089
2951209,227 40,3384
3019951,72 40,1669
3090295,433 39,9942
3162277,66 39,8205
3235936,569 39,6457
3311311,215 39,47
3388441,561 39,2932
3467368,505 39,1156
3548133,892 38,937
3630780,548 38,7576
3715352,291 38,5773
3801893,963 38,3963
3890451,45 38,2144
3981071,706 38,0319
4073802,778 37,8486
4168693,835 37,6646
4265795,188 37,4799
4365158,322 37,2946
4466835,922 37,1087
4570881,896 36,9222
4677351,413 36,7351
4786300,923 36,5475
4897788,194 36,3594
5011872,336 36,1707
5128613,84 35,9816
5248074,602 35,792
5370317,964 35,602
5495408,739 35,4115
5623413,252 35,2206
5754399,373 35,0294
5888436,554 34,8377
6025595,861 34,6457
6165950,019 34,4534
6309573,445 34,2607
6456542,29 34,0677
6606934,48 33,8744
6760829,754 33,6808
6918309,709 33,4869
7079457,844 33,2928
7244359,601 33,0984
7413102,413 32,9037
7585775,75 32,7088
7762471,166 32,5137
7943282,347 32,3184
8128305,162 32,1229
8317637,711 31,9272
8511380,382 31,7313
8709635,9 31,5352
8912509,381 31,3389
9120108,394 31,1425
9332543,008 30,9459
9549925,86 30,7491
9772372,21 30,5523
10000000 30,3552
10232929,92 30,1581
10471285,48 29,9608
10715193,05 29,7634
10964781,96 29,5659
11220184,54 29,3683
11481536,21 29,1705
11748975,55 28,9727
12022644,35 28,7748
12302687,71 28,5767
12589254,12 28,3786
12882495,52 28,1804
13182567,39 27,9822
13489628,83 27,7838
13803842,65 27,5854
14125375,45 27,3869
14454397,71 27,1883
14791083,88 26,9897
15135612,48 26,791
15488166,19 26,5923
15848931,92 26,3935
16218100,97 26,1946
16595869,07 25,9957
16982436,52 25,7967
17378008,29 25,5977
17782794,1 25,3987
18197008,59 25,1996
18620871,37 25,0005
19054607,18 24,8013
19498446 24,6021
19952623,15 24,4028
20417379,45 24,2036
20892961,31 24,0043
21379620,9 23,8049
21877616,24 23,6055
22387211,39 23,4061
22908676,53 23,2067
23442288,15 23,0073
23988329,19 22,8078
24547089,16 22,6083
25118864,32 22,4088
25703957,83 22,2092
26302679,92 22,0097
26915348,04 21,8101
27542287,03 21,6105
28183829,31 21,4109
28840315,03 21,2112
29512092,27 21,0116
30199517,2 20,8119
30902954,33 20,6122
31622776,6 20,4125
32359365,69 20,2128
33113112,15 20,0131
33884415,61 19,8133
34673685,05 19,6136
35481338,92 19,4138
36307805,48 19,2141
37153522,91 19,0143
38018939,63 18,8145
38904514,5 18,6147
39810717,06 18,4149
40738027,78 18,2151
41686938,35 18,0152
42657951,88 17,8154
43651583,22 17,6156
44668359,22 17,4157
45708818,96 17,2159
46773514,13 17,016
47863009,23 16,8161
48977881,94 16,6163
50118723,36 16,4164
51286138,4 16,2165
52480746,02 16,0166
53703179,64 15,8167
54954087,39 15,6168
56234132,52 15,4169
57543993,73 15,217
58884365,54 15,0171
60255958,61 14,8172
61659500,19 14,6172
63095734,45 14,4173
64565422,9 14,2174
66069344,8 14,0175
67608297,54 13,8175
69183097,09 13,6176
70794578,44 13,4177
72443596,01 13,2177
74131024,13 13,0178
75857757,5 12,8178
77624711,66 12,6179
79432823,47 12,4179
81283051,62 12,218
83176377,11 12,018
85113803,82 11,818
87096359 11,6181
89125093,81 11,4181
91201083,94 11,2182
93325430,08 11,0182
95499258,6 10,8182
97723722,1 10,6183
100000000 10,4183
102329299,2 10,2183
104712854,8 10,0183
107151930,5 9,81837
109647819,6 9,6184
112201845,4 9,41842
114815362,1 9,21844
117489755,5 9,01847
120226443,5 8,81849
123026877,1 8,61851
125892541,2 8,41853
128824955,2 8,21854
131825673,9 8,01856
134896288,3 7,81858
138038426,5 7,61859
141253754,5 7,41861
144543977,1 7,21862
147910838,8 7,01864
151356124,8 6,81865
154881661,9 6,61866
158489319,2 6,41868
162181009,7 6,21869
165958690,7 6,0187
169824365,2 5,81871
173780082,9 5,61872
177827941 5,41873
181970085,9 5,21874
186208713,7 5,01875
190546071,8 4,81875
194984460 4,61876
199526231,5 4,41877
204173794,5 4,21878
208929613,1 4,01878
213796209 3,81879
218776162,4 3,6188
223872113,9 3,4188
229086765,3 3,21881
234422881,5 3,01881
239883291,9 2,81882
245470891,6 2,61882
251188643,2 2,41883
257039578,3 2,21883
263026799,2 2,01884
269153480,4 1,81884
275422870,3 1,61885
281838293,1 1,41885
288403150,3 1,21885
295120922,7 1,01886
301995172 0,818861
309029543,3 0,618864
316227766 0,418867
323593656,9 0,21887
331131121,5 0,0188727
338844156,1 -0,181125
346736850,5 -0,381122
354813389,2 -0,58112
363078054,8 -0,781117
371535229,1 -0,981115
380189396,3 -1,18111
389045145 -1,38111
398107170,6 -1,58111
407380277,8 -1,78111
416869383,5 -1,98111
426579518,8 -2,1811
436515832,2 -2,3811
446683592,2 -2,5811
457088189,6 -2,7811
467735141,3 -2,9811
478630092,3 -3,1811
489778819,4 -3,3811
501187233,6 -3,58109
512861384 -3,78109
524807460,2 -3,98109
537031796,4 -4,18109
549540873,9 -4,38109
562341325,2 -4,58109
575439937,3 -4,78109
588843655,4 -4,98109
602559586,1 -5,18109
616595001,9 -5,38109
630957344,5 -5,58108
645654229 -5,78108
660693448 -5,98108
676082975,4 -6,18108
691830970,9 -6,38108
707945784,4 -6,58108
724435960,1 -6,78108
741310241,3 -6,98108
758577575 -7,18108
776247116,6 -7,38108
794328234,7 -7,58108
812830516,2 -7,78108
831763771,1 -7,98108
851138038,2 -8,18108
870963590 -8,38108
891250938,1 -8,58108
912010839,4 -8,78108
933254300,8 -8,98108
954992586 -9,18108
977237221 -9,38108
1000000000 -9,58108
