0 3,87132e-028
0,1 1,09162e-011
0,2 1,22844e-011
0,4 1,46066e-011
0,5 1,57805e-011
0,6 1,74213e-011
0,7 2,30968e-011
0,8 4,04282e-011
0,9 9,16672e-011
1 2,45843e-010
1,1 7,15564e-010
1,2 2,14017e-009
1,3 6,43914e-009
1,4 1,93126e-008
1,5 5,75189e-008
1,6 1,69835e-007
1,7 4,96796e-007
1,8 1,43921e-006
1,9 4,12883e-006
2 1,17298e-005
2,1 3,3002e-005
2,2 9,19567e-005
2,3 0,000253713
2,4 0,000692602
2,5 0,00186636
2,6 0,0049337
2,7 0,0126038
2,8 0,0302396
2,9 0,0652203
3 0,122526
3,1 0,200695
3,2 0,293963
3,3 0,396168
3,4 0,503445
3,6 0,721735
3,7 0,829963
3,8 0,936624
3,9 1,04137
4 1,14402
4,1 1,2445
4,2 1,34279
4,3 1,43893
4,4 1,53296
4,5 1,62495
4,6 1,71497
4,7 1,80311
4,8 1,88944
4,9 1,97404
5 2,05699
5,1 2,13835
5,2 2,2182
5,3 2,29661
5,4 2,37363
5,5 2,44933
5,6 2,52377
5,7 2,59699
5,8 2,66906
5,9 2,74
6 2,80988
6,1 2,87874
6,2 2,9466
6,3 3,01352
6,4 3,07953
6,5 3,14466
6,6 3,20895
6,7 3,27242
6,8 3,3351
6,9 3,39703
7 3,45821
7,2 3,57846
7,4 3,69594
7,5 3,75361
7,6 3,81052
7,7 3,86655
7,8 3,92151
7,9 3,97505
8 4,02666
8,1 4,07565
8,2 4,12122
8,3 4,16269
8,4 4,19971
8,5 4,23233
8,6 4,26097
8,7 4,28618
8,8 4,30851
8,9 4,3285
9 4,34654
9,1 4,36297
9,2 4,37807
9,3 4,39205
9,5 4,41727
9,7 4,43961
9,9 4,45973
10,1 4,47806
10,3 4,49493
10,5 4,51054
10,7 4,52508
11 4,54516
11,3 4,56347
11,6 4,58026
11,9 4,59574
12,2 4,61008
12,6 4,62766
13 4,64373
13,4 4,65852
13,8 4,6722
14,3 4,68798
14,8 4,7025
15,3 4,71595
15,9 4,73089
16,5 4,74473
17,2 4,75967
17,9 4,77354
18,7 4,78825
19,6 4,80359
20,5 4,81783
21,5 4,83256
22,6 4,84763
23,7 4,86168
24,8 4,87485
25,9 4,88724
27 4,89895
28,1 4,91005
29,2 4,9206
30,3 4,93064
31,4 4,94023
32,5 4,94941
33,6 4,95819
34,7 4,96662
35,8 4,97471
36,9 4,98249
38 4,98999
39,1 4,99721
40,2 5,00417
41,3 5,01089
42,4 5,01739
43,5 5,02366
44,6 5,02974
45,7 5,03562
46,8 5,04131
47,9 5,04683
49 5,05218
50,1 5,05737
51,2 5,0624
52,3 5,06729
53,4 5,07204
54,5 5,07666
55,6 5,08114
56,7 5,08551
57,8 5,08975
58,9 5,09388
60 5,0979
61,1 5,10181
62,2 5,10563
63,3 5,10934
64,4 5,11296
65,5 5,11649
66,6 5,11993
67,7 5,12329
68,8 5,12656
69,9 5,12976
71 5,13288
72,1 5,13592
73,2 5,1389
74,3 5,1418
75,4 5,14464
76,5 5,14741
77,6 5,15012
78,7 5,15277
79,8 5,15536
80,9 5,15789
82 5,16037
83,1 5,1628
84,2 5,16517
85,3 5,16749
86,4 5,16976
87,5 5,17199
88,6 5,17417
89,7 5,1763
90,8 5,17839
91,9 5,18044
93 5,18245
94,1 5,18441
95,2 5,18634
96,3 5,18823
97,4 5,19008
98,5 5,1919
99,6 5,19368
100 5,19432
