0 7,12991e-029
0,054 1,28249e-010
0,108 5,39163e-010
0,162 9,50444e-010
0,216 1,50714e-009
0,27 3,13514e-009
0,324 7,84956e-009
0,378 2,12849e-008
0,432 5,94297e-008
0,486 1,6788e-007
0,54 4,7593e-007
0,594 1,35106e-006
0,648 3,83716e-006
0,702 1,0899e-005
0,756 3,09515e-005
0,81 8,78365e-005
0,864 0,000248768
0,918 0,000700572
0,972 0,00194268
1,026 0,00517934
1,08 0,0127186
1,134 0,0272446
1,188 0,0498642
1,242 0,0795504
1,296 0,114521
1,35 0,153149
1,404 0,194596
1,458 0,237994
1,512 0,282841
1,566 0,328814
1,62 0,375675
1,674 0,423254
1,728 0,471421
1,782 0,520078
1,836 0,569149
1,89 0,618574
1,944 0,668303
1,998 0,718299
2,052 0,768528
2,106 0,818964
2,214 0,920368
2,322 1,02237
2,43 1,12486
2,538 1,22776
2,646 1,331
2,808 1,48641
2,97 1,64237
3,132 1,79877
3,348 2,00787
3,564 2,21752
3,834 2,48018
4,158 2,79609
4,536 3,16543
5,022 3,64124
5,616 4,22386
6,21 4,80734
6,804 5,39147
7,398 5,97608
7,992 6,56105
8,586 7,1463
9,18 7,73175
9,774 8,31736
10,368 8,90306
10,962 9,48876
11,448 9,96739
11,718 10,2317
11,88 10,3884
11,988 10,491
12,096 10,5913
12,204 10,6881
12,312 10,7798
12,42 10,8651
12,528 10,9426
12,636 11,012
12,744 11,0732
12,852 11,1269
12,96 11,1742
13,068 11,2158
13,176 11,2527
13,284 11,2856
13,392 11,3152
13,5 11,342
13,662 11,3779
13,824 11,4096
13,986 11,4378
14,148 11,4633
14,364 11,4937
14,58 11,5209
14,85 11,5513
15,12 11,5784
15,444 11,6075
15,768 11,6337
16,146 11,6612
16,578 11,6895
17,064 11,7182
17,604 11,747
18,198 11,7756
18,792 11,8017
19,386 11,8258
19,98 11,8482
20,574 11,8692
21,168 11,889
21,762 11,9078
22,356 11,9258
22,95 11,9429
23,544 11,9594
24,138 11,9753
24,732 11,9907
25,326 12,0056
25,92 12,02
26,514 12,0341
27,108 12,0479
27,702 12,0614
28,296 12,0745
28,89 12,0875
29,484 12,1001
30,078 12,1126
30,672 12,1249
31,266 12,137
31,86 12,149
32,454 12,1608
33,048 12,1725
33,642 12,184
34,236 12,1955
34,83 12,2068
35,424 12,218
36,018 12,2292
36,612 12,2403
37,206 12,2513
37,8 12,2622
38,394 12,2731
38,988 12,284
39,582 12,2948
40,176 12,3055
40,77 12,3162
41,364 12,3269
41,958 12,3376
42,552 12,3482
43,146 12,3588
43,74 12,3694
44,334 12,3799
44,928 12,3905
45,522 12,4011
46,116 12,4116
46,71 12,4221
47,304 12,4327
47,898 12,4432
48,492 12,4538
49,086 12,4643
49,68 12,4749
50,274 12,4855
50,868 12,496
51,462 12,5066
52,056 12,5173
52,65 12,5279
53,244 12,5385
53,838 12,5492
53,946 12,5512
