0 7,03592e-028
0,06 4,85051e-009
0,12 5,38115e-008
0,18 5,5154e-007
0,24 5,61355e-006
0,3 5,69707e-005
0,36 0,000565225
0,42 0,00469846
0,48 0,0212563
0,54 0,0508377
0,6 0,0871952
0,66 0,126938
0,72 0,168472
0,78 0,211287
0,84 0,254882
0,9 0,299027
0,96 0,343594
1,02 0,388489
1,08 0,433647
1,14 0,479018
1,2 0,524567
1,26 0,570266
1,38 0,662031
1,5 0,754183
1,62 0,846639
1,74 0,939336
1,92 1,07875
2,1 1,2185
2,34 1,40525
2,64 1,6392
3 1,9205
3,42 2,24927
3,96 2,67264
4,62 3,19086
5,28 3,70971
5,94 4,22904
6,6 4,74876
7,26 5,26879
7,74 5,64686
7,92 5,78801
8,04 5,88134
8,16 5,97321
8,28 6,06222
8,34 6,10497
8,4 6,14607
8,46 6,18518
8,52 6,22195
8,58 6,25614
8,64 6,28763
8,7 6,31642
8,76 6,34261
8,82 6,3664
8,88 6,38801
8,94 6,40765
9 6,42557
9,06 6,44197
9,18 6,4709
9,3 6,49568
9,42 6,51721
9,54 6,53617
9,66 6,55306
9,78 6,56825
9,96 6,58849
10,14 6,60628
10,32 6,62214
10,5 6,63643
10,74 6,65353
10,98 6,66881
11,28 6,6859
11,58 6,70118
11,94 6,71764
12,3 6,73245
12,72 6,74805
13,2 6,7641
13,74 6,78037
14,34 6,79667
15 6,81287
15,66 6,82763
16,32 6,84121
16,98 6,8538
17,64 6,86557
18,3 6,87663
18,96 6,88709
19,62 6,897
20,28 6,90646
20,94 6,91549
21,6 6,92416
22,26 6,93249
22,92 6,94052
23,58 6,94829
24,24 6,9558
24,9 6,96309
25,56 6,97017
26,22 6,97706
26,88 6,98377
27,54 6,99032
28,2 6,99672
28,86 7,00298
29,52 7,00911
30,18 7,01511
30,84 7,021
31,5 7,02678
32,16 7,03245
32,82 7,03804
33,48 7,04353
34,14 7,04894
34,8 7,05426
35,46 7,05951
36,12 7,06469
36,78 7,0698
37,44 7,07485
38,1 7,07983
38,76 7,08475
39,42 7,08962
40,08 7,09443
40,74 7,09919
41,4 7,10391
42,06 7,10857
42,72 7,11319
43,38 7,11777
44,04 7,12231
44,7 7,12681
45,36 7,13127
46,02 7,13569
46,68 7,14008
47,34 7,14444
48 7,14876
48,66 7,15305
49,32 7,15731
49,98 7,16155
50,64 7,16575
51,3 7,16993
51,96 7,17409
52,62 7,17821
53,28 7,18232
53,94 7,1864
54,6 7,19046
55,26 7,1945
55,92 7,19851
56,58 7,20251
57,24 7,20649
57,9 7,21044
58,56 7,21438
59,22 7,21831
59,88 7,22221
59,94 7,22256
